sample,method,del_auc_full,del_auc_20,ins_auc_full,ins_auc_20
1,Saliency,0.47608274519443516,0.5685064792633057,0.5194763362407684,0.46701866388320923
1,Grad x Input,0.503069943189621,0.6244730353355408,0.4859553903341293,0.47539231181144714
1,SmoothGrad,0.48874777853488927,0.5936286151409149,0.49462930560111995,0.4842590987682342
2,Saliency,0.4509780943393707,0.5458278059959412,0.4738946557044983,0.434491902589798
2,Grad x Input,0.44352660179138187,0.5548329204320908,0.4633545130491256,0.43255455791950226
2,SmoothGrad,0.4782606154680252,0.5748485028743744,0.4718734383583069,0.44755157828330994
3,Saliency,0.4141726493835449,0.5265626162290573,0.42706075012683864,0.38601408898830414
3,Grad x Input,0.42586683034896855,0.5546872168779373,0.4352019965648651,0.3913470506668091
3,SmoothGrad,0.43048100173473364,0.5555025488138199,0.4183955818414688,0.4017117321491241
