split,file,lpips
train,10218.tif,0.39893
train,10219.tif,0.289277
train,1022.tif,0.374781
train,10220.tif,0.376191
train,10221.tif,0.351073
train,10222.tif,0.390643
train,10223.tif,0.203694
train,10224.tif,0.2738
train,10225.tif,0.40185
train,10226.tif,0.288399
train,10227.tif,0.279799
train,10228.tif,0.3427
train,10229.tif,0.272997
train,1023.tif,0.415237
train,10230.tif,0.368939
train,10231.tif,0.305915
train,10232.tif,0.34701
train,10233.tif,0.415309
train,10234.tif,0.454758
train,10235.tif,0.369822
train,10236.tif,0.333288
train,10237.tif,0.394081
train,10238.tif,0.302598
train,10239.tif,0.356756
train,1024.tif,0.421382
train,10240.tif,0.245087
train,10241.tif,0.414233
train,10242.tif,0.418408
train,10243.tif,0.32016
train,10244.tif,0.395483
train,10245.tif,0.42473
train,10246.tif,0.276534
train,10247.tif,0.35206
train,10248.tif,0.407169
train,10249.tif,0.364651
train,1025.tif,0.201677
train,10250.tif,0.375317
train,10251.tif,0.278247
train,10252.tif,0.240309
train,10253.tif,0.294264
train,10254.tif,0.334317
train,10255.tif,0.400568
train,10256.tif,0.293505
train,10257.tif,0.449209
train,10258.tif,0.35848
train,10259.tif,0.355027
train,1026.tif,0.385802
train,10260.tif,0.338026
train,10261.tif,0.334715
train,10262.tif,0.329072
train,10263.tif,0.360498
train,10264.tif,0.38732
train,10265.tif,0.445171
train,10266.tif,0.427812
train,10267.tif,0.366032
train,10268.tif,0.289912
train,10269.tif,0.363918
train,1027.tif,0.326747
train,10270.tif,0.359313
train,10271.tif,0.233214
train,10272.tif,0.303131
train,10273.tif,0.368898
train,10274.tif,0.303687
train,10275.tif,0.372163
train,10276.tif,0.398055
train,10277.tif,0.314675
train,10278.tif,0.343046
train,10279.tif,0.321118
train,1028.tif,0.402072
train,10280.tif,0.432041
train,10281.tif,0.366925
train,10282.tif,0.410111
train,10283.tif,0.323588
train,10284.tif,0.368042
train,10285.tif,0.253009
train,10286.tif,0.321243
train,10287.tif,0.262723
train,10288.tif,0.312015
train,10289.tif,0.341829
