split,file,ssim,psnr
train,10157.tif,0.482835,18.7788
train,10158.tif,0.552061,20.492
train,10159.tif,0.625033,22.9342
train,1016.tif,0.511572,17.6785
train,10160.tif,0.529719,20.0471
train,10161.tif,0.642821,22.0205
train,10162.tif,0.50963,19.3415
train,10163.tif,0.644371,20.7293
train,10164.tif,0.693426,23.651
train,10165.tif,0.717487,22.4527
train,10166.tif,0.554074,21.5103
train,10167.tif,0.601991,20.4906
train,10168.tif,0.591092,19.6919
train,10169.tif,0.631993,21.3901
train,1017.tif,0.510251,19.2056
train,10170.tif,0.517365,19.4854
train,10171.tif,0.486217,18.3767
train,10172.tif,0.503584,19.5547
train,10173.tif,0.623283,20.3448
train,10174.tif,0.736095,24.4237
train,10175.tif,0.569952,21.1345
train,10176.tif,0.63569,19.1766
train,10177.tif,0.563401,20.8331
train,10178.tif,0.564088,20.4234
train,10179.tif,0.505361,20.3246
train,1018.tif,0.557351,20.3676
train,10180.tif,0.547793,22.4973
train,10181.tif,0.714484,22.6799
train,10182.tif,0.579635,19.6279
train,10183.tif,0.465596,19.1257
train,10184.tif,0.482521,18.8954
train,10185.tif,0.534703,19.5884
train,10186.tif,0.655653,22.0568
train,10187.tif,0.529593,20.6884
train,10188.tif,0.620193,22.244
train,10189.tif,0.572229,21.2339
train,1019.tif,0.583379,20.9575
train,10190.tif,0.495676,19.7494
train,10191.tif,0.831632,24.7445
train,10192.tif,0.566082,20.281
train,10193.tif,0.847864,26.4401
train,10194.tif,0.642523,21.7377
train,10195.tif,0.572124,19.0447
train,10196.tif,0.694178,18.8119
train,10197.tif,0.666325,22.7787
train,10198.tif,0.605727,20.8394
train,10199.tif,0.509491,18.7686
train,102.tif,0.632064,19.8853
train,1020.tif,0.521148,18.4576
train,10200.tif,0.532895,20.4999
train,10201.tif,0.594388,20.6699
train,10202.tif,0.57487,20.4739
train,10203.tif,0.53351,20.4657
train,10204.tif,0.64255,21.4556
train,10205.tif,0.795694,25.4912
train,10206.tif,0.514782,19.5381
train,10207.tif,0.58674,20.6239
train,10208.tif,0.611225,20.5337
train,10209.tif,0.627658,20.7031
train,1021.tif,0.515118,20.259
train,10210.tif,0.653816,21.1283
train,10211.tif,0.519445,21.1202
train,10212.tif,0.572248,20.9541
train,10213.tif,0.762302,23.7547
train,10214.tif,0.635841,22.5601
train,10215.tif,0.536875,19.5106
train,10216.tif,0.662124,22.1098
train,10217.tif,0.615163,21.0047
train,10218.tif,0.590116,21.1494
train,10219.tif,0.612199,20.8473
train,1022.tif,0.508656,19.1114
train,10220.tif,0.483117,17.7789
train,10221.tif,0.500596,19.6524
train,10222.tif,0.489559,19.5971
train,10223.tif,0.80894,23.8523
train,10224.tif,0.730887,22.7744
train,10225.tif,0.495109,19.503
train,10226.tif,0.75773,24.8008
train,10227.tif,0.651985,22.1594
train,10228.tif,0.535152,19.7325
train,10229.tif,0.690244,23.8176
train,1023.tif,0.495039,17.6774
train,10230.tif,0.528686,19.6115
train,10231.tif,0.523799,18.9947
train,10232.tif,0.702755,21.6395
train,10233.tif,0.49649,20.5651
train,10234.tif,0.640377,23.2348
train,10235.tif,0.506085,20.2053
train,10236.tif,0.640702,18.9991
train,10237.tif,0.477972,19.2231
train,10238.tif,0.694122,23.407
train,10239.tif,0.555738,19.7984
train,1024.tif,0.63395,16.1288
train,10240.tif,0.847588,26.4939
train,10241.tif,0.539745,20.5367
train,10242.tif,0.586612,18.9796
train,10243.tif,0.547495,19.8166
train,10244.tif,0.514138,19.7483
train,10245.tif,0.514313,18.9475
train,10246.tif,0.677541,19.6892
train,10247.tif,0.533757,19.467
train,10248.tif,0.487156,18.5169
train,10249.tif,0.558251,20.3698
train,1025.tif,0.816611,23.6966
train,10250.tif,0.620421,20.7885
train,10251.tif,0.770813,23.7078
train,10252.tif,0.735263,23.4648
train,10253.tif,0.594346,21.1279
train,10254.tif,0.530828,19.8997
train,10255.tif,0.488072,19.6022
train,10256.tif,0.714607,24.3749
train,10257.tif,0.408424,16.9057
train,10258.tif,0.499278,20.1038
train,10259.tif,0.57485,21.2457
train,1026.tif,0.510226,17.9418
train,10260.tif,0.691136,23.5894
train,10261.tif,0.657445,22.4513
train,10262.tif,0.507582,19.6328
train,10263.tif,0.571115,19.4349
train,10264.tif,0.540806,19.4118
train,10265.tif,0.520441,18.9671
train,10266.tif,0.491141,19.1682
train,10267.tif,0.623099,20.9918
train,10268.tif,0.682525,21.7346
train,10269.tif,0.495349,18.8594
train,1027.tif,0.562743,18.4516
train,10270.tif,0.610978,21.8244
train,10271.tif,0.820942,26.1924
train,10272.tif,0.625494,20.622
train,10273.tif,0.547571,21.2599
train,10274.tif,0.612209,21.4029
train,10275.tif,0.511063,19.9781
train,10276.tif,0.43067,18.7043
train,10277.tif,0.623985,21.6632
train,10278.tif,0.658296,22.4642
train,10279.tif,0.672841,24.2222
train,1028.tif,0.494374,18.3327
train,10280.tif,0.4543,16.745
train,10281.tif,0.498467,19.9914
train,10282.tif,0.528009,18.6832
train,10283.tif,0.61119,22.0176
train,10284.tif,0.661129,23.1674
train,10285.tif,0.762396,24.4039
train,10286.tif,0.696385,24.7398
train,10287.tif,0.641423,20.8781
train,10288.tif,0.61781,21.6099
train,10289.tif,0.640019,23.3491
train,1029.tif,0.563122,20.1483
train,10290.tif,0.652583,22.1537
train,10291.tif,0.496606,16.2823
train,10292.tif,0.448601,18.3711
train,10293.tif,0.558945,20.8658
train,10294.tif,0.769524,24.7062
train,10295.tif,0.747728,23.5867
train,10296.tif,0.571451,19.8886
train,10297.tif,0.628639,22.3717
train,10298.tif,0.629432,21.4629
train,10299.tif,0.483348,20.007
train,103.tif,0.541838,20.1219
train,1030.tif,0.609899,21.8641
train,10300.tif,0.572218,18.999
train,10301.tif,0.455633,18.5571
train,10302.tif,0.506886,19.3117
train,10303.tif,0.786707,24.5326
train,10304.tif,0.539442,18.0247
train,10305.tif,0.589408,19.0348
train,10306.tif,0.530907,19.6418
train,10307.tif,0.656598,20.2977
train,10308.tif,0.735748,24.3981
train,10309.tif,0.713281,21.6415
train,1031.tif,0.487869,17.3682
train,10310.tif,0.594358,21.2394
train,10311.tif,0.52121,19.6195
train,10312.tif,0.717125,23.1268
train,10313.tif,0.631886,20.7581
train,10314.tif,0.613626,20.2956
train,10315.tif,0.642793,21.7344
train,10316.tif,0.538628,20.1788
train,10317.tif,0.635237,23.6583
train,10318.tif,0.487998,19.2765
train,10319.tif,0.494634,20.5458
train,1032.tif,0.559469,20.1974
train,10320.tif,0.476359,18.1775
train,10321.tif,0.600151,18.8149
train,10322.tif,0.720902,24.8196
train,10323.tif,0.75724,21.4365
train,10324.tif,0.477069,18.1172
train,10325.tif,0.711399,22.7854
train,10326.tif,0.494058,17.8978
train,10327.tif,0.493437,20.4018
train,10328.tif,0.500525,19.5295
train,10329.tif,0.57599,20.5559
train,1033.tif,0.446534,17.4373
train,10330.tif,0.535149,21.2334
train,10331.tif,0.468651,18.4272
train,10332.tif,0.694844,22.8739
train,10333.tif,0.563485,19.7712
train,10334.tif,0.469827,19.2464
train,10335.tif,0.518549,20.2585
train,10336.tif,0.488129,19.685
train,10337.tif,0.550562,18.7058
train,10338.tif,0.576823,19.9651
train,10339.tif,0.547315,18.9022
train,1034.tif,0.656916,22.064
train,10340.tif,0.662169,22.4953
train,10341.tif,0.521048,18.8964
train,10342.tif,0.622331,20.8468
train,10343.tif,0.563594,20.5292
train,10344.tif,0.532721,19.3897
train,10345.tif,0.662028,23.2391
train,10346.tif,0.660624,22.0727
train,10347.tif,0.651207,21.2739
train,10348.tif,0.536742,18.8949
train,10349.tif,0.617345,20.9744
train,1035.tif,0.585431,19.3018
train,10350.tif,0.647474,21.308
train,10351.tif,0.592612,20.6083
train,10352.tif,0.566293,20.2782
train,10353.tif,0.505849,19.4471
train,10354.tif,0.247684,18.5967
train,10355.tif,0.556333,21.3002
train,10356.tif,0.671057,21.1607
train,10357.tif,0.713561,23.1759
train,10358.tif,0.604298,20.4251
train,10359.tif,0.52764,20.1704
train,1036.tif,0.485153,17.9171
train,10360.tif,0.531155,21.3483
train,10361.tif,0.517805,18.752
train,10362.tif,0.678215,24.0146
train,10363.tif,0.576718,22.3859
train,10364.tif,0.601916,21.9589
train,10365.tif,0.660802,21.0749
train,10366.tif,0.490533,18.1559
train,10367.tif,0.569105,19.4148
train,10368.tif,0.464974,16.5695
train,10369.tif,0.525474,19.4859
train,1037.tif,0.600268,17.918
train,10370.tif,0.662816,21.8148
train,10371.tif,0.642959,18.9019
train,10372.tif,0.629154,20.3234
train,10373.tif,0.600514,20.4125
train,10374.tif,0.617477,20.5676
train,10375.tif,0.598449,20.1917
train,10376.tif,0.573523,21.0225
train,10377.tif,0.56094,18.5466
train,10378.tif,0.613484,20.3692
train,10379.tif,0.546413,19.0892
train,1038.tif,0.630901,21.9737
train,10380.tif,0.457055,18.7264
train,10381.tif,0.567789,19.9839
train,10382.tif,0.464798,19.3655
train,10383.tif,0.468493,19.2509
train,10384.tif,0.66488,20.5159
train,10385.tif,0.539891,19.3959
train,10386.tif,0.638959,20.8138
train,10387.tif,0.555491,19.9409
train,10388.tif,0.586806,20.7325
train,10389.tif,0.353934,17.7482
train,1039.tif,0.525333,18.3685
train,10390.tif,0.481547,19.7422
train,10391.tif,0.58245,20.2667
train,10392.tif,0.527555,18.1879
train,10393.tif,0.609613,21.3027
train,10394.tif,0.581843,20.9599
train,10395.tif,0.527674,19.4865
train,10396.tif,0.592529,21.0089
train,10397.tif,0.633781,22.0041
train,10398.tif,0.579991,17.1611
train,10399.tif,0.676747,21.4646
train,104.tif,0.550834,19.0306
train,1040.tif,0.520921,17.503
train,10400.tif,0.577182,18.3063
train,10401.tif,0.598635,21.0226
train,10402.tif,0.588598,20.001
train,10403.tif,0.57239,20.9572
train,10404.tif,0.646005,23.5654
train,10405.tif,0.568166,20.0842
train,10406.tif,0.578923,20.8222
train,10407.tif,0.608883,19.2273
train,10408.tif,0.663663,20.6282
