split,file,ssim,psnr
train,12240.tif,0.546207,17.0133
train,12241.tif,0.566195,19.9027
train,12242.tif,0.448773,19.3036
train,12243.tif,0.66357,21.4219
train,12244.tif,0.531733,20.8274
train,12245.tif,0.604061,21.1294
train,12246.tif,0.609324,21.9772
train,12247.tif,0.637197,22.1821
train,12248.tif,0.591928,19.8798
train,12249.tif,0.587145,19.4245
train,1225.tif,0.640984,21.2798
train,12250.tif,0.57144,20.3082
train,12251.tif,0.534338,19.7455
train,12252.tif,0.562529,21.2976
train,12253.tif,0.443381,19.2917
train,12254.tif,0.593937,21.8455
train,12255.tif,0.59288,20.7416
train,12256.tif,0.648613,21.5744
train,12257.tif,0.770373,22.9192
train,12258.tif,0.537928,19.8189
train,12259.tif,0.626522,20.9852
train,1226.tif,0.821037,24.1153
train,12260.tif,0.677991,21.5711
train,12261.tif,0.646215,21.8332
train,12262.tif,0.652694,21.0069
train,12263.tif,0.572865,21.348
train,12264.tif,0.562572,20.9031
train,12265.tif,0.638872,21.3178
train,12266.tif,0.517592,19.9495
train,12267.tif,0.641614,20.5696
train,12268.tif,0.601906,22.1742
train,12269.tif,0.564172,19.0385
train,1227.tif,0.496423,16.9774
train,12270.tif,0.655671,22.2717
train,12271.tif,0.567401,20.7847
train,12272.tif,0.708082,20.939
train,12273.tif,0.636069,20.9476
train,12274.tif,0.733626,22.9706
train,12275.tif,0.637955,22.5751
train,12276.tif,0.434012,19.0116
train,12277.tif,0.574373,19.6495
train,12278.tif,0.453418,19.8481
train,12279.tif,0.629921,22.2298
train,1228.tif,0.597771,20.7408
train,12280.tif,0.517093,20.2606
train,12281.tif,0.609987,21.5452
train,12282.tif,0.473719,19.4825
train,12283.tif,0.678313,21.5004
train,12284.tif,0.603965,19.2841
train,12285.tif,0.532217,19.713
train,12286.tif,0.606643,20.294
train,12287.tif,0.647483,18.4385
train,12288.tif,0.580956,20.694
train,12289.tif,0.467605,20.0774
train,1229.tif,0.577932,20.5699
train,12290.tif,0.521953,21.1317
train,12291.tif,0.587613,21.3273
train,12292.tif,0.637789,21.9575
train,12293.tif,0.471573,18.7732
train,12294.tif,0.632896,21.6965
train,12295.tif,0.477735,19.6966
train,12296.tif,0.534722,19.8353
train,12297.tif,0.494223,19.9889
train,12298.tif,0.599094,20.3069
train,12299.tif,0.498375,18.6712
train,123.tif,0.66037,20.5538
train,1230.tif,0.615543,20.7732
train,12300.tif,0.54778,21.7428
train,12301.tif,0.592421,16.7468
train,12302.tif,0.622987,21.7679
train,12303.tif,0.801791,24.343
train,12304.tif,0.621473,21.2809
train,12305.tif,0.634409,20.5719
train,12306.tif,0.613482,21.0625
train,12307.tif,0.490032,18.2612
train,12308.tif,0.589745,19.8071
train,12309.tif,0.644061,20.4373
train,1231.tif,0.465551,18.9605
train,12310.tif,0.557561,21.2922
train,12311.tif,0.614295,21.8548
train,12312.tif,0.480116,20.1226
train,12313.tif,0.419166,19.0238
train,12314.tif,0.617315,20.3117
train,12315.tif,0.620077,22.0653
train,12316.tif,0.615511,20.617
train,12317.tif,0.455501,17.4608
train,12318.tif,0.543168,20.1011
train,12319.tif,0.630435,22.0083
train,1232.tif,0.520442,19.0065
train,12320.tif,0.676548,21.2235
train,12321.tif,0.629505,22.348
train,12322.tif,0.607753,22.2131
train,12323.tif,0.499264,18.8656
train,12324.tif,0.602451,21.7771
train,12325.tif,0.51933,20.0745
train,12326.tif,0.493535,19.2463
train,12327.tif,0.543,19.1861
train,12328.tif,0.852501,24.2546
train,12329.tif,0.600476,22.0634
train,1233.tif,0.686136,23.0435
train,12330.tif,0.634386,21.6787
train,12331.tif,0.584691,21.5259
train,12332.tif,0.587819,21.6319
train,12333.tif,0.572998,19.6525
train,12334.tif,0.571436,19.4436
train,12335.tif,0.549912,21.7008
train,12336.tif,0.646263,20.4297
train,12337.tif,0.639,20.7218
train,12338.tif,0.633463,21.5909
train,12339.tif,0.54365,21.278
train,1234.tif,0.377233,16.9114
train,12340.tif,0.52422,18.0119
train,12341.tif,0.572737,20.6776
train,12342.tif,0.482886,19.0314
train,12343.tif,0.550193,20.2216
train,12344.tif,0.792947,24.2399
train,12345.tif,0.625314,21.4902
train,12346.tif,0.527414,18.4979
train,12347.tif,0.619525,19.06
train,12348.tif,0.568732,20.0532
train,12349.tif,0.6036,21.7835
train,1235.tif,0.558083,20.5763
train,12350.tif,0.549961,21.0067
train,12351.tif,0.591366,19.5235
train,12352.tif,0.769106,23.841
train,12353.tif,0.457482,19.8273
train,12354.tif,0.632527,19.4437
train,12355.tif,0.494379,19.1922
train,12356.tif,0.528005,21.0923
train,12357.tif,0.591192,20.9751
train,12358.tif,0.635652,22.9062
train,12359.tif,0.666783,20.0472
train,1236.tif,0.644784,21.5009
train,12360.tif,0.464802,18.099
train,12361.tif,0.553714,21.2249
train,12362.tif,0.525155,20.2917
train,12363.tif,0.584574,20.2692
train,12364.tif,0.551759,19.977
train,12365.tif,0.40009,17.2225
train,12366.tif,0.615455,19.7794
train,12367.tif,0.466158,18.2408
train,12368.tif,0.392454,17.9145
train,12369.tif,0.582921,20.9941
train,1237.tif,0.52215,18.6443
train,12370.tif,0.56902,18.0022
train,12371.tif,0.620373,19.3574
train,12372.tif,0.637981,19.0562
train,12373.tif,0.728637,21.0083
train,12374.tif,0.464666,18.7404
train,12375.tif,0.555534,20.8286
train,12376.tif,0.610687,21.5229
train,12377.tif,0.550708,20.7113
train,12378.tif,0.534053,20.2464
train,12379.tif,0.53564,20.9076
train,1238.tif,0.516843,18.111
train,12380.tif,0.831434,25.0913
train,12381.tif,0.444556,19.139
train,12382.tif,0.607388,21.0874
train,12383.tif,0.668093,20.9935
train,12384.tif,0.581125,20.2238
train,12385.tif,0.704472,21.5145
train,12386.tif,0.572717,20.5727
train,12387.tif,0.601724,20.9893
train,12388.tif,0.510995,18.4657
train,12389.tif,0.609805,20.0333
train,1239.tif,0.462244,18.0042
train,12390.tif,0.62349,22.2729
train,12391.tif,0.415411,18.6005
train,12392.tif,0.627008,21.6493
train,12393.tif,0.576572,20.7802
train,12394.tif,0.599024,21.4858
train,12395.tif,0.521184,19.3625
train,12396.tif,0.636446,21.878
train,12397.tif,0.56897,20.2168
train,12398.tif,0.590776,20.2323
train,12399.tif,0.524063,20.39
train,124.tif,0.546324,19.496
train,1240.tif,0.609779,20.02
train,12400.tif,0.591991,21.4438
train,12401.tif,0.624748,17.8033
train,12402.tif,0.475179,19.3619
train,12403.tif,0.514399,17.6352
train,12404.tif,0.613892,20.7753
train,12405.tif,0.562911,20.7924
train,12406.tif,0.456867,19.8811
train,12407.tif,0.506289,20.4556
train,12408.tif,0.615024,21.3915
train,12409.tif,0.631483,22.3286
train,1241.tif,0.668263,21.3435
train,12410.tif,0.589798,21.1225
train,12411.tif,0.575917,19.8003
train,12412.tif,0.544968,19.3297
train,12413.tif,0.610286,20.9982
train,12414.tif,0.488736,19.1579
train,12415.tif,0.585694,20.9982
train,12416.tif,0.568846,20.7875
train,12417.tif,0.425693,19.246
train,12418.tif,0.596613,20.9544
train,12419.tif,0.588562,21.3308
train,1242.tif,0.5636,21.2815
train,12420.tif,0.589629,20.6063
train,12421.tif,0.606185,20.599
train,12422.tif,0.560981,18.9164
train,12423.tif,0.554574,19.4266
train,12424.tif,0.504479,18.7453
train,12425.tif,0.498113,20.3522
train,12426.tif,0.626901,20.6388
train,12427.tif,0.605977,21.2242
train,12428.tif,0.581226,21.1046
train,12429.tif,0.575665,20.5581
train,1243.tif,0.694094,22.3519
train,12430.tif,0.488319,19.3687
train,12431.tif,0.570033,20.8413
train,12432.tif,0.506287,20.5042
train,12433.tif,0.549967,18.2311
train,12434.tif,0.592355,21.2897
train,12435.tif,0.59072,20.6015
train,12436.tif,0.526825,17.9534
train,12437.tif,0.587622,21.133
train,12438.tif,0.534653,20.9293
train,12439.tif,0.549913,19.2052
train,1244.tif,0.474173,16.5776
train,12440.tif,0.452578,18.215
train,12441.tif,0.41692,19.0935
train,12442.tif,0.616985,20.7962
train,12443.tif,0.580084,20.6504
train,12444.tif,0.557321,20.7707
train,12445.tif,0.534866,21.4756
train,12446.tif,0.606276,21.1481
train,12447.tif,0.641131,23.326
train,12448.tif,0.573044,21.1961
train,12449.tif,0.650109,20.7734
train,1245.tif,0.539719,21.3264
train,12450.tif,0.604663,21.2163
train,12451.tif,0.414006,18.5025
train,12452.tif,0.527206,20.3338
train,12453.tif,0.555052,21.1855
train,12454.tif,0.456305,18.0922
train,12455.tif,0.502862,20.3432
train,12456.tif,0.543868,20.5932
train,12457.tif,0.537699,21.3145
train,12458.tif,0.638564,21.958
train,12459.tif,0.555227,21.2853
train,1246.tif,0.585647,20.7017
train,12460.tif,0.565137,21.0017
train,12461.tif,0.516994,20.7104
train,12462.tif,0.563922,19.8723
train,12463.tif,0.626498,22.2838
train,12464.tif,0.623499,21.2659
train,12465.tif,0.453055,17.8849
train,12466.tif,0.585794,21.1885
train,12467.tif,0.556276,19.1065
train,12468.tif,0.381635,18.4485
train,12469.tif,0.564581,17.8985
train,1247.tif,0.476325,18.0614
train,12470.tif,0.522521,18.813
train,12471.tif,0.647187,22.4454
train,12472.tif,0.613265,20.2982
train,12473.tif,0.606934,21.1594
train,12474.tif,0.549817,20.4872
train,12475.tif,0.574766,20.0257
train,12476.tif,0.523089,20.8238
train,12477.tif,0.648903,21.3662
train,12478.tif,0.60028,21.6954
train,12479.tif,0.550605,19.8027
train,1248.tif,0.477571,18.4829
train,12480.tif,0.634298,19.6644
train,12481.tif,0.51506,19.8526
train,12482.tif,0.478731,19.7508
train,12483.tif,0.591512,20.3333
train,12484.tif,0.58084,20.8062
train,12485.tif,0.509217,19.8748
train,12486.tif,0.594829,20.8857
train,12487.tif,0.679097,22.414
train,12488.tif,0.508873,19.4465
train,12489.tif,0.603619,21.23
train,1249.tif,0.523416,20.2829
train,12490.tif,0.553964,19.6648
train,12491.tif,0.695034,21.2482
train,12492.tif,0.408083,18.1201
train,12493.tif,0.451164,19.373
train,12494.tif,0.630553,21.7758
train,12495.tif,0.486145,18.894
train,12496.tif,0.531194,22.5322
train,12497.tif,0.440226,19.6386
train,12498.tif,0.575925,19.802
train,12499.tif,0.581146,22.2198
train,125.tif,0.483458,19.2677
train,1250.tif,0.506604,19.7469
train,12500.tif,0.537471,18.0895
train,12501.tif,0.558555,20.8301
train,12502.tif,0.666631,21.0445
train,12503.tif,0.421326,19.3393
train,12504.tif,0.384852,18.732
train,12505.tif,0.581604,20.4868
train,12506.tif,0.484072,20.1304
train,12507.tif,0.49294,20.5162
train,12508.tif,0.59723,20.5406
train,12509.tif,0.691817,20.8268
train,1251.tif,0.529146,19.2744
train,12510.tif,0.653498,22.3247
train,12511.tif,0.709856,21.141
train,12512.tif,0.578152,20.7649
train,12513.tif,0.610915,23.1872
train,12514.tif,0.58482,19.4184
train,12515.tif,0.482402,19.523
train,12516.tif,0.472296,18.0009
train,12517.tif,0.512345,21.3501
train,12518.tif,0.587487,21.0457
train,12519.tif,0.399983,17.0824
train,1252.tif,0.54277,20.5315
train,12520.tif,0.731753,21.6742
train,12521.tif,0.600198,21.5664
train,12522.tif,0.635211,20.2018
train,12523.tif,0.532932,18.3888
train,12524.tif,0.416429,18.187
train,12525.tif,0.595694,22.0175
train,12526.tif,0.527328,18.4921
train,12527.tif,0.604185,20.0556
train,12528.tif,0.375324,18.5103
train,12529.tif,0.601999,20.3543
train,1253.tif,0.554801,20.2457
train,12530.tif,0.567151,20.9563
train,12531.tif,0.548328,21.6986
train,12532.tif,0.458358,15.9901
train,12533.tif,0.650811,20.7851
train,12534.tif,0.620526,22.007
train,12535.tif,0.609144,19.2439
train,12536.tif,0.580073,20.2471
train,12537.tif,0.473889,18.7408
train,12538.tif,0.63997,20.9632
train,12539.tif,0.622038,21.2616
train,1254.tif,0.525305,17.8195
train,12540.tif,0.534558,17.8922
train,12541.tif,0.671527,21.594
train,12542.tif,0.546999,20.2028
train,12543.tif,0.456962,18.731
train,12544.tif,0.501393,17.4445
train,12545.tif,0.65254,21.1086
train,12546.tif,0.584844,21.5216
train,12547.tif,0.446694,17.877
train,12548.tif,0.59222,18.5802
train,12549.tif,0.642537,20.2315
train,1255.tif,0.524471,20.7587
train,12550.tif,0.611758,22.4809
train,12551.tif,0.464898,17.5785
train,12552.tif,0.661522,24.5011
train,12553.tif,0.571265,20.9955
train,12554.tif,0.507503,18.2246
train,12555.tif,0.476966,18.7576
train,12556.tif,0.517851,20.2314
train,12557.tif,0.523323,18.7455
train,12558.tif,0.691148,24.4244
train,12559.tif,0.447254,17.8576
train,1256.tif,0.648533,16.6832
train,12560.tif,0.481245,19.089
train,12561.tif,0.503217,19.2903
train,12562.tif,0.551362,19.6078
train,12563.tif,0.576245,18.8346
train,12564.tif,0.536147,18.7151
train,12565.tif,0.484618,17.5406
train,12566.tif,0.634098,21.0792
train,12567.tif,0.612259,19.9448
train,12568.tif,0.633722,22.4676
train,12569.tif,0.557359,18.3099
train,1257.tif,0.568478,19.1681
train,12570.tif,0.451761,18.84
train,12571.tif,0.54029,19.0521
train,12572.tif,0.695329,22.996
train,12573.tif,0.617601,21.6348
train,12574.tif,0.653558,20.6738
train,12575.tif,0.644002,22.3492
train,12576.tif,0.549394,20.946
train,12577.tif,0.588807,20.7575
train,12578.tif,0.414901,18.3392
train,12579.tif,0.526936,19.8647
train,1258.tif,0.482719,20.4093
train,12580.tif,0.722508,20.9791
train,12581.tif,0.571826,19.9322
train,12582.tif,0.518871,19.2909
train,12583.tif,0.555809,18.2148
train,12584.tif,0.531116,19.2137
train,12585.tif,0.521773,20.5632
train,12586.tif,0.466181,17.5635
train,12587.tif,0.571537,20.3213
train,12588.tif,0.704217,24.7267
train,12589.tif,0.547638,20.1843
train,1259.tif,0.497738,18.5265
train,12590.tif,0.753252,24.5786
train,12591.tif,0.537221,18.2966
train,12592.tif,0.401294,17.0036
train,12593.tif,0.635889,20.3716
train,12594.tif,0.604861,19.7059
train,12595.tif,0.74351,23.5691
train,12596.tif,0.588272,19.3104
train,12597.tif,0.53241,19.165
train,12598.tif,0.767188,24.1211
train,12599.tif,0.577867,20.4754
train,126.tif,0.541832,20.4967
train,1260.tif,0.564489,21.3398
train,12600.tif,0.565407,18.5963
train,12601.tif,0.558973,19.6002
train,12602.tif,0.646432,23.7007
train,12603.tif,0.510106,20.3745
train,12604.tif,0.511291,19.4516
train,12605.tif,0.577511,18.5795
train,12606.tif,0.47692,18.7666
train,12607.tif,0.577989,19.5533
train,12608.tif,0.569899,19.4
train,12609.tif,0.525465,19.3909
train,1261.tif,0.583841,20.4615
train,12610.tif,0.673044,24.2193
train,12611.tif,0.516416,18.1374
train,12612.tif,0.59633,22.2936
train,12613.tif,0.467061,19.2589
train,12614.tif,0.569953,22.4966
train,12615.tif,0.537963,19.3026
train,12616.tif,0.473609,18.6102
train,12617.tif,0.644638,23.1346
train,12618.tif,0.75347,23.4361
train,12619.tif,0.647159,20.9041
train,1262.tif,0.501455,19.4213
train,12620.tif,0.592964,19.7486
train,12621.tif,0.60855,20.7983
train,12622.tif,0.534619,21.6549
train,12623.tif,0.623959,21.0729
train,12624.tif,0.587958,21.7541
train,12625.tif,0.429249,20.3552
train,12626.tif,0.563809,19.4834
train,12627.tif,0.52045,18.9708
train,12628.tif,0.495346,18.9389
train,12629.tif,0.492728,18.9257
train,1263.tif,0.638543,21.0955
train,12630.tif,0.54069,19.989
train,12631.tif,0.610542,21.1455
train,12632.tif,0.490119,19.2016
train,12633.tif,0.596667,21.1772
train,12634.tif,0.457671,18.6467
train,12635.tif,0.561427,19.6799
train,12636.tif,0.549561,15.6759
train,12637.tif,0.512021,18.9597
train,12638.tif,0.720125,21.687
train,12639.tif,0.431934,19.756
train,1264.tif,0.574049,20.6358
train,12640.tif,0.583597,20.8045
train,12641.tif,0.456833,19.1782
train,12642.tif,0.593754,21.4832
train,12643.tif,0.440747,16.9
train,12644.tif,0.499847,18.9332
train,12645.tif,0.62415,23.1689
train,12646.tif,0.594636,20.3129
train,12647.tif,0.430864,17.3631
train,12648.tif,0.626868,21.0097
train,12649.tif,0.581814,20.6413
train,1265.tif,0.526382,17.2338
train,12650.tif,0.582044,20.4926
train,12651.tif,0.471167,19.5708
train,12652.tif,0.491057,19.238
train,12653.tif,0.570957,19.4291
train,12654.tif,0.436796,16.9042
train,12655.tif,0.710469,23.254
train,12656.tif,0.580699,19.7133
train,12657.tif,0.607763,21.4835
train,12658.tif,0.495424,17.6408
train,12659.tif,0.48298,18.4396
train,1266.tif,0.528455,20.7745
train,12660.tif,0.595924,22.1906
train,12661.tif,0.523014,19.2591
train,12662.tif,0.433004,19.5247
train,12663.tif,0.476981,18.7223
train,12664.tif,0.569292,22.314
train,12665.tif,0.469417,19.2169
train,12666.tif,0.540423,19.767
train,12667.tif,0.603423,21.6449
train,12668.tif,0.710403,23.7744
train,12669.tif,0.578091,20.1379
train,1267.tif,0.522884,19.1611
train,12670.tif,0.546667,17.5008
train,12671.tif,0.474738,20.3108
train,12672.tif,0.532931,20.5081
train,12673.tif,0.49832,17.4082
train,12674.tif,0.537857,18.2094
train,12675.tif,0.535564,20.6689
train,12676.tif,0.531519,20.1681
train,12677.tif,0.475598,18.4148
train,12678.tif,0.598739,20.2131
train,12679.tif,0.733947,24.1255
train,1268.tif,0.617724,20.6018
train,12680.tif,0.627409,21.9591
train,12681.tif,0.652702,24.2917
train,12682.tif,0.488659,20.038
train,12683.tif,0.51609,20.7678
train,12684.tif,0.596654,19.2639
train,12685.tif,0.458129,19.1152
train,12686.tif,0.618638,21.5973
train,12687.tif,0.399738,17.1564
train,12688.tif,0.552876,22.349
train,12689.tif,0.608661,20.9529
train,1269.tif,0.45851,17.0791
train,12690.tif,0.613418,22.0671
train,12691.tif,0.585197,21.1623
train,12692.tif,0.656204,21.7069
train,12693.tif,0.432536,17.9986
train,12694.tif,0.668916,20.3776
train,12695.tif,0.515912,19.627
train,12696.tif,0.531702,19.0735
train,12697.tif,0.576652,21.7403
train,12698.tif,0.77792,20.1824
train,12699.tif,0.546666,18.3708
train,127.tif,0.51325,19.5923
train,1270.tif,0.560683,21.49
train,12700.tif,0.484326,19.2342
train,12701.tif,0.596,21.5686
train,12702.tif,0.521488,20.404
train,12703.tif,0.512213,18.7276
train,12704.tif,0.575924,21.291
train,12705.tif,0.479906,18.81
train,12706.tif,0.627062,22.3935
train,12707.tif,0.556507,19.9938
train,12708.tif,0.503512,19.8301
train,12709.tif,0.507565,20.3545
train,1271.tif,0.570094,20.0381
train,12710.tif,0.643303,22.3368
train,12711.tif,0.47513,19.7993
train,12712.tif,0.535934,17.6399
train,12713.tif,0.495106,19.8075
train,12714.tif,0.827603,24.2008
train,12715.tif,0.604722,19.3145
train,12716.tif,0.460871,17.5301
train,12717.tif,0.483379,19.3317
train,12718.tif,0.547358,17.4998
train,12719.tif,0.59176,20.2542
train,1272.tif,0.563587,19.4033
train,12720.tif,0.562642,21.6616
train,12721.tif,0.582399,21.7336
train,12722.tif,0.609265,20.3749
train,12723.tif,0.462084,16.033
train,12724.tif,0.629078,21.1314
train,12725.tif,0.46614,19.4945
train,12726.tif,0.668173,22.6125
train,12727.tif,0.712341,19.4654
train,12728.tif,0.494866,18.8024
train,12729.tif,0.440498,16.6203
train,1273.tif,0.611671,21.0284
train,12730.tif,0.423963,19.104
train,12731.tif,0.496476,19.8273
train,12732.tif,0.466177,19.7865
train,12733.tif,0.505149,18.8735
train,12734.tif,0.482476,19.2077
train,12735.tif,0.512331,18.8486
train,12736.tif,0.620533,20.5934
train,12737.tif,0.617661,20.3622
train,12738.tif,0.56051,20.6182
train,12739.tif,0.569743,18.7173
train,1274.tif,0.496311,21.1519
train,12740.tif,0.453495,18.2014
train,12741.tif,0.578542,20.4575
train,12742.tif,0.632989,20.7096
train,12743.tif,0.617337,20.9905
train,12744.tif,0.542386,20.9679
train,12745.tif,0.562813,22.359
train,12746.tif,0.510266,20.6589
train,12747.tif,0.623032,20.7577
train,12748.tif,0.640427,19.8823
train,12749.tif,0.540325,19.8513
train,1275.tif,0.609043,20.1176
train,12750.tif,0.505487,18.932
train,12751.tif,0.427535,18.677
train,12752.tif,0.530767,20.5799
train,12753.tif,0.567099,19.5148
train,12754.tif,0.494364,19.2762
train,12755.tif,0.57386,19.8977
train,12756.tif,0.505484,18.5881
train,12757.tif,0.54905,19.7842
train,12758.tif,0.529924,18.9525
train,12759.tif,0.543999,18.0754
train,1276.tif,0.524964,20.1479
train,12760.tif,0.546743,20.8792
train,12761.tif,0.664426,21.262
train,12762.tif,0.638288,23.3095
train,12763.tif,0.61432,22.3861
train,12764.tif,0.558217,19.9588
train,12765.tif,0.522191,19.2377
train,12766.tif,0.568261,19.1124
train,12767.tif,0.545318,20.2323
train,12768.tif,0.565126,19.7953
train,12769.tif,0.58183,21.729
train,1277.tif,0.445259,17.4056
train,12770.tif,0.518262,18.7839
train,12771.tif,0.49331,18.5635
train,12772.tif,0.650898,22.2978
train,12773.tif,0.623391,21.3443
train,12774.tif,0.609892,22.0008
train,12775.tif,0.680422,21.1214
train,12776.tif,0.573861,21.7124
train,12777.tif,0.649841,22.8817
train,12778.tif,0.512919,19.4609
train,12779.tif,0.547827,17.4898
train,1278.tif,0.642483,21.7176
train,12780.tif,0.631055,21.1002
train,12781.tif,0.597597,21.8262
train,12782.tif,0.562737,22.296
train,12783.tif,0.404474,18.2105
train,12784.tif,0.606174,20.0173
train,12785.tif,0.468767,18.9088
train,12786.tif,0.490823,18.4186
train,12787.tif,0.497544,19.3698
train,12788.tif,0.463507,19.0208
train,12789.tif,0.65375,23.2517
train,1279.tif,0.665725,20.826
train,12790.tif,0.52587,17.516
train,12791.tif,0.455896,19.469
train,12792.tif,0.61489,19.4494
train,12793.tif,0.473256,18.3599
train,12794.tif,0.542509,19.9336
train,12795.tif,0.557543,20.6814
train,12796.tif,0.665159,20.4099
train,12797.tif,0.611595,20.9794
train,12798.tif,0.545352,21.0753
train,12799.tif,0.569261,21.1972
train,128.tif,0.451141,19.52
train,1280.tif,0.490998,18.5622
train,12800.tif,0.469104,18.2595
train,12801.tif,0.551322,20.095
train,12802.tif,0.435606,19.0331
train,12803.tif,0.664454,24.0358
train,12804.tif,0.469394,17.5245
train,12805.tif,0.513021,19.4627
train,12806.tif,0.569113,20.6334
train,12807.tif,0.497679,19.6025
train,12808.tif,0.611248,22.6096
train,12809.tif,0.551913,18.4503
train,1281.tif,0.522693,19.6211
train,12810.tif,0.580405,19.353
train,12811.tif,0.480988,19.6804
train,12812.tif,0.471481,19.4302
train,12813.tif,0.495195,19.1677
train,12814.tif,0.682335,22.3787
train,12815.tif,0.5354,19.4852
train,12816.tif,0.503394,19.1947
train,12817.tif,0.501999,19.5907
train,12818.tif,0.496747,20.6829
train,12819.tif,0.541402,20.1826
train,1282.tif,0.772224,26.6266
train,12820.tif,0.482558,20.3366
train,12821.tif,0.604763,20.8306
train,12822.tif,0.589125,21.8157
train,12823.tif,0.495226,17.6925
train,12824.tif,0.478588,17.443
train,12825.tif,0.685142,23.9577
train,12826.tif,0.599466,20.4527
train,12827.tif,0.54797,19.2753
train,12828.tif,0.467062,19.83
train,12829.tif,0.549106,19.4889
train,1283.tif,0.459389,18.735
train,12830.tif,0.538741,18.7892
train,12831.tif,0.672216,22.0639
train,12832.tif,0.529899,21.1861
train,12833.tif,0.531651,19.67
train,12834.tif,0.452156,17.5691
train,12835.tif,0.524573,20.4018
train,12836.tif,0.563406,21.2001
train,12837.tif,0.486161,17.8523
train,12838.tif,0.519375,19.5433
train,12839.tif,0.596092,23.7146
train,1284.tif,0.735209,23.7074
train,12840.tif,0.402535,16.6767
train,12841.tif,0.574603,21.4635
train,12842.tif,0.541442,19.5277
train,12843.tif,0.79325,22.5658
train,12844.tif,0.4455,15.922
train,12845.tif,0.454117,18.9264
train,12846.tif,0.707025,25.8848
train,12847.tif,0.77405,22.6155
train,12848.tif,0.477723,17.6768
train,12849.tif,0.531897,20.8446
train,1285.tif,0.47737,17.6496
train,12850.tif,0.468844,17.743
train,12851.tif,0.489347,18.6425
train,12852.tif,0.654259,22.2584
train,12853.tif,0.431109,18.3403
train,12854.tif,0.494696,18.0393
train,12855.tif,0.559647,20.4658
train,12856.tif,0.606697,19.0046
train,12857.tif,0.426532,16.3625
train,12858.tif,0.492139,18.6671
train,12859.tif,0.447176,19.8363
train,1286.tif,0.512044,16.3255
train,12860.tif,0.597564,18.9966
train,12861.tif,0.605197,22.1131
train,12862.tif,0.617178,19.1645
train,12863.tif,0.502531,19.8485
train,12864.tif,0.540954,20.9087
train,12865.tif,0.562669,18.8244
train,12866.tif,0.473158,18.2666
train,12867.tif,0.53545,21.7071
train,12868.tif,0.642836,21.6549
train,12869.tif,0.699669,24.4331
train,1287.tif,0.571841,19.6306
train,12870.tif,0.63113,21.5339
train,12871.tif,0.423644,16.555
train,12872.tif,0.496388,19.1996
train,12873.tif,0.488214,19.5345
train,12874.tif,0.580981,20.9523
train,12875.tif,0.5038,15.0346
train,12876.tif,0.562243,19.1912
train,12877.tif,0.584376,20.2882
train,12878.tif,0.523557,21.0057
train,12879.tif,0.58667,20.7003
train,1288.tif,0.582962,20.7248
train,12880.tif,0.576388,20.114
train,12881.tif,0.603422,20.4195
train,12882.tif,0.628177,19.8067
train,12883.tif,0.478277,17.4472
train,12884.tif,0.527264,18.1398
train,12885.tif,0.629427,22.1554
train,12886.tif,0.593997,21.8961
train,12887.tif,0.473454,18.7546
train,12888.tif,0.487855,18.6732
train,12889.tif,0.48934,19.1175
train,1289.tif,0.510132,17.5431
train,12890.tif,0.668112,21.5476
train,12891.tif,0.551249,20.6752
train,12892.tif,0.605912,19.8156
train,12893.tif,0.831859,23.119
train,12894.tif,0.551978,19.8602
train,12895.tif,0.459117,17.0944
train,12896.tif,0.610362,20.337
train,12897.tif,0.53816,21.2722
train,12898.tif,0.454268,19.364
train,12899.tif,0.477484,17.3767
train,129.tif,0.588948,19.8566
train,1290.tif,0.521093,19.0178
train,12900.tif,0.486946,19.589
train,12901.tif,0.63164,20.0514
train,12902.tif,0.48939,19.5949
train,12903.tif,0.590596,19.639
train,12904.tif,0.607602,20.4825
train,12905.tif,0.612159,22.3883
train,12906.tif,0.622207,20.7563
train,12907.tif,0.55416,20.3407
train,12908.tif,0.735522,25.6763
train,12909.tif,0.596173,21.7528
train,1291.tif,0.581067,20.521
train,12910.tif,0.52155,20.1907
train,12911.tif,0.469267,20.6373
train,12912.tif,0.580836,21.3004
train,12913.tif,0.490954,19.0415
train,12914.tif,0.527393,20.1187
train,12915.tif,0.570108,20.8183
train,12916.tif,0.604565,20.9252
train,12917.tif,0.665797,17.4847
train,12918.tif,0.637097,21.6492
train,12919.tif,0.496016,19.9459
train,1292.tif,0.527643,17.9606
train,12920.tif,0.519457,20.6387
train,12921.tif,0.543141,20.9534
train,12922.tif,0.525426,19.178
train,12923.tif,0.487512,20.0332
train,12924.tif,0.546287,19.2464
train,12925.tif,0.60664,20.0608
train,12926.tif,0.613893,17.7714
train,12927.tif,0.573465,19.5592
train,12928.tif,0.552776,19.0884
train,12929.tif,0.621809,20.3302
train,1293.tif,0.642768,19.8781
train,12930.tif,0.552364,14.4642
train,12931.tif,0.532899,19.311
train,12932.tif,0.591949,20.4235
train,12933.tif,0.565072,20.2095
train,12934.tif,0.669732,21.9274
train,12935.tif,0.596615,21.6112
train,12936.tif,0.546684,19.4267
train,12937.tif,0.620558,21.8731
train,12938.tif,0.528802,19.944
train,12939.tif,0.649361,21.1531
train,1294.tif,0.637995,19.6681
train,12940.tif,0.585433,20.6652
train,12941.tif,0.586893,21.0952
train,12942.tif,0.551685,18.7837
train,12943.tif,0.465142,19.2568
train,12944.tif,0.417881,17.8385
