file,ssim,psnr,lpips
1135.tif,0.666373,24.7838,0.241289
1136.tif,0.611476,22.1217,0.302047
1137.tif,0.646243,22.5283,0.283461
1138.tif,0.552925,20.5862,0.267929
1139.tif,0.557298,20.0189,0.3007
114.tif,0.637792,20.7007,0.267043
1140.tif,0.564916,21.8709,0.265063
1141.tif,0.507245,20.5482,0.268067
1142.tif,0.603934,24.1578,0.290506
1143.tif,0.554113,19.9116,0.272022
1144.tif,0.551545,19.5,0.272793
1145.tif,0.474902,18.0462,0.272308
1146.tif,0.712266,22.097,0.289249
1147.tif,0.603825,24.6499,0.297839
1148.tif,0.558191,22.2525,0.252674
1149.tif,0.604516,19.6834,0.237318
115.tif,0.592089,19.3154,0.261743
1150.tif,0.67064,23.1876,0.246626
1151.tif,0.530534,19.2926,0.374397
1152.tif,0.654972,23.2592,0.263457
1153.tif,0.624376,22.9829,0.264391
1154.tif,0.564958,20.4496,0.275348
1155.tif,0.545064,18.3104,0.24888
1156.tif,0.529432,22.7914,0.290174
1157.tif,0.498967,16.5839,0.275336
1158.tif,0.58857,20.4378,0.314125
1159.tif,0.545087,22.3385,0.256242
116.tif,0.639349,21.1205,0.331401
1160.tif,0.486229,19.1472,0.290179
1161.tif,0.557621,20.938,0.243669
1162.tif,0.575977,22.4236,0.261585
1163.tif,0.617209,22.0016,0.255174
1164.tif,0.628879,20.8115,0.381211
1165.tif,0.53312,22.4649,0.270952
1166.tif,0.453535,20.5228,0.330542
1167.tif,0.559164,22.6045,0.293265
1168.tif,0.562224,23.102,0.264205
1169.tif,0.528176,17.1943,0.278126
117.tif,0.527019,19.7291,0.280822
1170.tif,0.603219,20.2413,0.291939
1171.tif,0.568501,22.248,0.287502
1172.tif,0.530155,16.9137,0.271652
1173.tif,0.480051,16.3435,0.288961
1174.tif,0.554863,24.1414,0.29486
1175.tif,0.590667,20.4823,0.257117
1176.tif,0.558847,22.2831,0.2806
1177.tif,0.644741,20.4493,0.303479
1178.tif,0.53089,22.2565,0.277327
1179.tif,0.570278,21.7035,0.294657
118.tif,0.418972,14.8216,0.33978
1180.tif,0.47752,19.3058,0.30993
1181.tif,0.691107,22.6458,0.218459
1182.tif,0.588158,20.5729,0.238334
1183.tif,0.600562,21.3573,0.245876
1184.tif,0.613689,20.8333,0.28558
1185.tif,0.611633,18.0651,0.33498
1186.tif,0.604356,19.3454,0.362824
1187.tif,0.632806,16.5681,0.303689
1188.tif,0.525901,16.9093,0.314616
1189.tif,0.658062,22.9688,0.305841
119.tif,0.487557,19.853,0.274502
1190.tif,0.526813,21.7106,0.273123
1191.tif,0.564087,20.8354,0.24784
1192.tif,0.499058,18.665,0.328016
1193.tif,0.511406,20.0293,0.279902
1194.tif,0.516887,20.954,0.300707
1195.tif,0.514749,22.5072,0.306519
1196.tif,0.648858,22.4294,0.288865
1197.tif,0.78343,26.5562,0.316425
1198.tif,0.57599,21.4991,0.251088
1199.tif,0.799632,24.3619,0.262888
12.tif,0.525072,18.3384,0.344892
120.tif,0.549534,20.2017,0.265636
1200.tif,0.526353,20.6389,0.247066
1201.tif,0.581068,22.3242,0.220068
1202.tif,0.555138,23.5911,0.383897
1203.tif,0.536896,19.6671,0.2825
1204.tif,0.570739,21.6152,0.252722
1205.tif,0.516723,19.7935,0.271789
1206.tif,0.550375,23.3603,0.278926
1207.tif,0.535116,23.0843,0.266948
1208.tif,0.553851,22.3098,0.299386
1209.tif,0.499213,21.7158,0.285794
121.tif,0.591537,22.272,0.263879
1210.tif,0.471028,20.8853,0.284625
1211.tif,0.544971,21.0516,0.25393
1212.tif,0.666673,21.3027,0.263162
1213.tif,0.573798,19.8664,0.257801
1214.tif,0.635163,22.754,0.268863
1215.tif,0.550204,21.1439,0.290426
1216.tif,0.477494,20.594,0.248306
1217.tif,0.5158,22.8815,0.259425
1218.tif,0.624646,22.1501,0.294348
1219.tif,0.607166,21.6417,0.282282
122.tif,0.524573,20.4421,0.273212
1220.tif,0.56868,22.7948,0.272483
1221.tif,0.525126,21.665,0.317046
1222.tif,0.543723,21.7242,0.277307
1223.tif,0.403092,19.9738,0.323626
1224.tif,0.49374,20.6955,0.298464
1225.tif,0.725316,24.4979,0.234983
1226.tif,0.548925,23.1227,0.228398
1227.tif,0.45377,21.6317,0.335251
1228.tif,0.580692,21.5795,0.265897
1229.tif,0.60557,21.8805,0.271759
