file,ssim,psnr,lpips
1600.tif,0.532704,21.1443,0.282635
1601.tif,0.547907,21.5276,0.302668
1602.tif,0.499234,20.666,0.315972
1603.tif,0.571554,20.3638,0.324984
1604.tif,0.457128,18.6815,0.274717
1605.tif,0.549964,21.0943,0.252511
1606.tif,0.478181,17.382,0.299542
1607.tif,0.541308,22.6134,0.236067
1608.tif,0.612442,22.6478,0.282971
1609.tif,0.765909,23.2692,0.222442
161.tif,0.603222,19.3456,0.262315
1610.tif,0.519053,21.3541,0.293979
1611.tif,0.589968,21.0284,0.248382
1612.tif,0.468046,19.4124,0.354622
1613.tif,0.648724,20.9769,0.334907
1614.tif,0.638299,23.6592,0.30438
1615.tif,0.64097,21.354,0.315782
1616.tif,0.691128,23.6443,0.342328
1617.tif,0.677623,22.841,0.218604
1618.tif,0.526834,20.8335,0.279071
1619.tif,0.625941,21.5354,0.227698
162.tif,0.642403,19.079,0.264231
1620.tif,0.571284,19.2752,0.298215
1621.tif,0.509394,21.8129,0.244766
1622.tif,0.598243,21.1031,0.262807
1623.tif,0.587876,19.0289,0.312457
1624.tif,0.539851,19.1106,0.257646
1625.tif,0.549212,21.9861,0.302792
1626.tif,0.554636,21.6181,0.289913
1627.tif,0.507975,19.8005,0.357668
1628.tif,0.634964,19.7795,0.236326
1629.tif,0.465571,20.758,0.265277
163.tif,0.522866,19.0543,0.268715
1630.tif,0.589321,18.4087,0.261482
1631.tif,0.551235,22.6717,0.267271
1632.tif,0.443999,18.8052,0.369889
1633.tif,0.586674,20.836,0.280497
1634.tif,0.580294,21.5914,0.27759
1635.tif,0.586871,21.9055,0.288723
1636.tif,0.576846,20.7866,0.286675
1637.tif,0.453432,21.1094,0.321377
1638.tif,0.572913,17.9723,0.291788
1639.tif,0.609541,21.825,0.262272
164.tif,0.625598,21.26,0.255902
1640.tif,0.580052,20.3182,0.268482
1641.tif,0.522281,19.2536,0.269132
1642.tif,0.507339,19.2087,0.291973
1643.tif,0.520223,15.4833,0.331203
1644.tif,0.716865,21.5498,0.251682
1645.tif,0.509316,21.8379,0.363035
1646.tif,0.653064,20.959,0.243246
1647.tif,0.63547,22.5879,0.240611
1648.tif,0.5265,20.917,0.272493
1649.tif,0.647997,18.9154,0.306058
165.tif,0.568639,21.5696,0.292624
1650.tif,0.466178,19.6781,0.30883
1651.tif,0.627695,21.8647,0.247263
1652.tif,0.611437,21.3552,0.253345
1653.tif,0.668688,22.4056,0.272395
1654.tif,0.612216,21.3257,0.25735
1655.tif,0.664949,21.0561,0.249991
1656.tif,0.53285,22.5207,0.305387
1657.tif,0.509368,21.5723,0.28953
1658.tif,0.493252,19.2913,0.300493
1659.tif,0.560246,21.0464,0.286056
166.tif,0.590904,21.6713,0.29844
1660.tif,0.709107,23.2038,0.313983
1661.tif,0.56783,16.1902,0.371883
1662.tif,0.559422,18.7296,0.277085
1663.tif,0.513101,20.3118,0.300626
1664.tif,0.572877,17.6455,0.335662
1665.tif,0.592937,20.4267,0.319085
1666.tif,0.53361,18.4076,0.289798
1667.tif,0.528119,20.9396,0.340606
1668.tif,0.625286,19.938,0.276
1669.tif,0.550283,19.885,0.273842
167.tif,0.578759,20.7991,0.323549
1670.tif,0.480773,18.7081,0.292013
1671.tif,0.434572,20.5232,0.350765
1672.tif,0.522004,18.6327,0.294339
1673.tif,0.543652,20.4607,0.284932
1674.tif,0.517358,19.1159,0.298082
1675.tif,0.674242,21.582,0.256284
1676.tif,0.56408,20.7048,0.313882
1677.tif,0.486516,23.2747,0.326891
1678.tif,0.574171,22.2331,0.256785
1679.tif,0.568983,22.1395,0.29726
168.tif,0.647719,22.4815,0.248869
1680.tif,0.538913,21.4072,0.305993
1681.tif,0.469057,19.6852,0.292571
1682.tif,0.627601,21.5967,0.288445
1683.tif,0.546861,21.3665,0.283527
1684.tif,0.565582,22.1019,0.238278
1685.tif,0.570861,21.8745,0.27779
1686.tif,0.508913,21.1156,0.300154
1687.tif,0.640001,21.2232,0.246381
1688.tif,0.695369,21.9261,0.277683
1689.tif,0.50009,20.2665,0.264176
169.tif,0.561641,20.3763,0.298388
1690.tif,0.705577,24.9281,0.261881
1691.tif,0.521173,22.0752,0.260617
1692.tif,0.480194,19.1192,0.302679
1693.tif,0.49609,18.6947,0.269212
1694.tif,0.610694,19.3555,0.312095
1695.tif,0.593936,23.9719,0.329163
1696.tif,0.577934,17.0154,0.311289
1697.tif,0.47115,22.1875,0.319467
1698.tif,0.64522,20.7334,0.261997
1699.tif,0.568582,20.5014,0.268692
17.tif,0.496841,20.2798,0.27332
170.tif,0.640811,22.1518,0.341168
1700.tif,0.573124,21.4458,0.272728
1701.tif,0.662145,23.6582,0.213216
1702.tif,0.591878,24.8102,0.232654
1703.tif,0.521376,21.5803,0.279143
1704.tif,0.599535,22.6422,0.249146
1705.tif,0.677898,22.1086,0.266257
1706.tif,0.671875,21.9566,0.253014
1707.tif,0.518404,21.3187,0.286345
1708.tif,0.612535,19.0786,0.34071
1709.tif,0.539178,24.5568,0.319302
171.tif,0.504213,20.2306,0.279593
1710.tif,0.547567,16.2949,0.28765
1711.tif,0.513967,18.5992,0.255546
1712.tif,0.610837,22.5196,0.312174
1713.tif,0.609208,21.2631,0.279563
1714.tif,0.516861,21.431,0.267122
1715.tif,0.478749,20.2203,0.271575
1716.tif,0.511466,22.372,0.289487
1717.tif,0.480642,19.3621,0.30318
1718.tif,0.552981,17.3693,0.2751
1719.tif,0.514708,19.8239,0.286876
172.tif,0.526695,18.1545,0.272528
1720.tif,0.534694,21.9904,0.282978
1721.tif,0.529551,20.1896,0.311016
1722.tif,0.555157,21.7607,0.274057
1723.tif,0.631545,22.1312,0.272558
1724.tif,0.595144,20.3143,0.30926
1725.tif,0.549301,20.5135,0.279716
1726.tif,0.457413,18.5698,0.307262
1727.tif,0.642325,22.1026,0.321562
1728.tif,0.481152,22.1414,0.360905
1729.tif,0.60633,21.4244,0.271097
173.tif,0.615615,16.686,0.381577
1730.tif,0.603656,19.6494,0.265052
1731.tif,0.538695,17.5247,0.326868
1732.tif,0.51496,18.1013,0.284967
1733.tif,0.53114,21.3051,0.28942
1734.tif,0.501121,17.1909,0.292828
1735.tif,0.655616,22.0811,0.235574
1736.tif,0.49633,21.1745,0.242058
1737.tif,0.613359,17.4842,0.275855
1738.tif,0.582404,20.9606,0.326722
1739.tif,0.511994,21.9414,0.342897
174.tif,0.729357,23.754,0.324764
1740.tif,0.556901,20.7732,0.216301
1741.tif,0.574899,21.0516,0.262276
1742.tif,0.583111,19.7714,0.250438
1743.tif,0.55601,21.6548,0.29844
1744.tif,0.509767,21.1312,0.239301
1745.tif,0.598098,23.3893,0.341136
1746.tif,0.58523,18.1763,0.324232
1747.tif,0.714657,22.7576,0.245581
1748.tif,0.615665,22.7566,0.284598
1749.tif,0.495792,21.8311,0.299564
175.tif,0.645783,23.2112,0.253099
1750.tif,0.6538,19.712,0.277403
1751.tif,0.518184,20.906,0.349844
1752.tif,0.593203,18.8656,0.275162
1753.tif,0.486477,18.2037,0.331423
1754.tif,0.497744,16.8049,0.309945
1755.tif,0.452066,18.8282,0.320983
1756.tif,0.645053,24.5926,0.279634
1757.tif,0.598407,21.4252,0.286552
1758.tif,0.688905,18.7077,0.439188
1759.tif,0.53384,24.4434,0.254156
176.tif,0.780812,21.1397,0.352393
1760.tif,0.460592,19.6824,0.375905
1761.tif,0.477041,18.5918,0.302701
1762.tif,0.537295,13.3587,0.400894
1763.tif,0.485813,20.5061,0.251994
1764.tif,0.609745,21.0664,0.356497
1765.tif,0.530717,13.9257,0.317843
1766.tif,0.592817,19.4,0.286167
1767.tif,0.499684,21.4919,0.328932
1768.tif,0.584831,18.1767,0.308949
1769.tif,0.627487,22.9597,0.259948
177.tif,0.609125,19.2922,0.266442
1770.tif,0.609694,22.0989,0.279315
1771.tif,0.458954,20.1813,0.247496
1772.tif,0.616603,20.7109,0.267003
1773.tif,0.521676,20.8325,0.273549
1774.tif,0.536594,22.1228,0.27539
1775.tif,0.560327,21.3778,0.270451
1776.tif,0.525047,19.8828,0.316444
1777.tif,0.585911,22.0399,0.301087
1778.tif,0.595815,21.2623,0.262502
1779.tif,0.451664,18.5078,0.360213
178.tif,0.627728,20.4893,0.255966
1780.tif,0.601093,19.2664,0.298619
1781.tif,0.595032,22.7459,0.266031
1782.tif,0.518335,13.08,0.322664
1783.tif,0.756577,21.8682,0.357305
1784.tif,0.536599,18.9146,0.273775
1785.tif,0.630387,23.8762,0.321244
1786.tif,0.653697,21.8878,0.271489
1787.tif,0.616944,20.9162,0.261369
1788.tif,0.647373,24.7583,0.263567
1789.tif,0.55433,18.8145,0.316548
179.tif,0.563985,20.607,0.251806
1790.tif,0.583895,19.5223,0.301786
1791.tif,0.563539,18.441,0.282037
1792.tif,0.655326,21.4593,0.275387
1793.tif,0.449457,19.2364,0.341638
1794.tif,0.539164,20.5639,0.262762
1795.tif,0.640242,22.0049,0.288925
1796.tif,0.504622,19.5109,0.275008
1797.tif,0.633136,21.8101,0.287434
1798.tif,0.700532,22.5645,0.286929
1799.tif,0.626458,22.6392,0.28315
18.tif,0.598826,22.1296,0.266986
180.tif,0.512677,21.2028,0.321043
1800.tif,0.686633,21.4217,0.226211
1801.tif,0.539464,18.1247,0.332578
1802.tif,0.610893,22.5825,0.27909
1803.tif,0.60705,22.4991,0.288838
1804.tif,0.482238,22.7155,0.335474
1805.tif,0.531859,20.955,0.285186
1806.tif,0.588492,21.4,0.265279
1807.tif,0.550945,21.26,0.298588
1808.tif,0.675449,24.8156,0.305722
1809.tif,0.533043,21.6746,0.250805
181.tif,0.540493,21.8698,0.312985
1810.tif,0.591456,23.06,0.302613
1811.tif,0.527941,22.4996,0.304377
1812.tif,0.604595,21.6829,0.271345
1813.tif,0.537068,20.3106,0.272473
1814.tif,0.734031,23.5604,0.290692
1815.tif,0.576954,21.1411,0.256813
1816.tif,0.633833,24.2763,0.227818
1817.tif,0.60727,22.2674,0.262449
1818.tif,0.501835,21.0101,0.302698
1819.tif,0.471833,19.5998,0.305751
182.tif,0.568796,20.4262,0.245622
1820.tif,0.551894,21.8261,0.266966
1821.tif,0.53838,21.7646,0.279631
1822.tif,0.550766,22.6911,0.292017
1823.tif,0.521983,17.3497,0.277052
1824.tif,0.581489,21.3205,0.289934
1825.tif,0.646563,21.277,0.247676
1826.tif,0.693898,21.6968,0.247301
1827.tif,0.572916,22.598,0.299708
1828.tif,0.59087,22.1246,0.318317
1829.tif,0.579479,20.9624,0.296158
183.tif,0.543969,22.0029,0.227861
1830.tif,0.656095,22.257,0.273773
1831.tif,0.613859,24.5234,0.231945
1832.tif,0.693996,20.4264,0.254625
1833.tif,0.47479,17.3719,0.313578
1834.tif,0.536406,20.3016,0.323663
1835.tif,0.519515,20.4025,0.294048
1836.tif,0.568877,23.7729,0.245263
1837.tif,0.627587,23.9308,0.240883
1838.tif,0.528008,19.6712,0.361946
1839.tif,0.611768,20.6158,0.342821
184.tif,0.590425,20.1599,0.28529
1840.tif,0.552793,18.8954,0.299453
1841.tif,0.609381,15.6462,0.291298
1842.tif,0.598149,21.6473,0.270799
1843.tif,0.681336,22.7546,0.238527
1844.tif,0.624438,21.9683,0.258454
1845.tif,0.615843,22.6663,0.281594
1846.tif,0.611841,21.278,0.252639
1847.tif,0.554468,20.9028,0.315823
1848.tif,0.663746,20.6833,0.26608
1849.tif,0.545385,23.2464,0.31702
185.tif,0.498199,18.8643,0.273524
1850.tif,0.70255,20.1873,0.291741
1851.tif,0.651829,22.5383,0.283628
1852.tif,0.544142,20.298,0.34749
1853.tif,0.600422,17.9057,0.281913
1854.tif,0.548442,18.57,0.300578
1855.tif,0.4984,20.4093,0.301236
1856.tif,0.53302,16.7037,0.301042
1857.tif,0.605418,20.5648,0.293432
1858.tif,0.690347,22.3678,0.201167
1859.tif,0.534509,20.2339,0.267508
186.tif,0.563446,20.9197,0.28532
1860.tif,0.642529,21.1977,0.32492
1861.tif,0.55585,17.088,0.337565
1862.tif,0.517695,18.0584,0.283215
1863.tif,0.567588,23.7195,0.319683
1864.tif,0.553773,20.4062,0.29391
1865.tif,0.490762,17.0678,0.308171
1866.tif,0.583155,22.9464,0.268204
1867.tif,0.588652,22.3309,0.318621
1868.tif,0.592755,22.9171,0.260401
1869.tif,0.49689,19.9959,0.291839
187.tif,0.555536,20.8877,0.301021
1870.tif,0.561213,23.8217,0.365487
1871.tif,0.615037,21.6903,0.272941
1872.tif,0.467595,20.415,0.32566
1873.tif,0.558403,19.2753,0.2675
1874.tif,0.662592,23.7738,0.264499
1875.tif,0.658288,22.9848,0.359456
1876.tif,0.530821,19.5196,0.272042
1877.tif,0.554682,20.7299,0.276645
1878.tif,0.468044,20.6397,0.313888
1879.tif,0.604334,20.6629,0.259224
188.tif,0.578372,19.8512,0.289029
1880.tif,0.502284,20.0854,0.324562
1881.tif,0.492856,21.961,0.324787
1882.tif,0.583868,22.9825,0.263347
1883.tif,0.552567,20.6492,0.246137
1884.tif,0.644397,21.5595,0.247476
1885.tif,0.666067,21.8664,0.270958
1886.tif,0.616197,21.5186,0.266495
1887.tif,0.555572,21.5045,0.217712
1888.tif,0.680063,21.5806,0.241345
1889.tif,0.602531,21.4609,0.244703
189.tif,0.485171,20.4571,0.287973
1890.tif,0.641254,22.4878,0.252302
1891.tif,0.525067,17.6463,0.311303
1892.tif,0.5712,20.7125,0.325584
1893.tif,0.701084,24.2957,0.240691
1894.tif,0.600409,21.6551,0.303116
1895.tif,0.521305,21.7326,0.252512
1896.tif,0.635134,21.2469,0.249951
1897.tif,0.572117,19.673,0.262729
1898.tif,0.636963,22.6336,0.224885
1899.tif,0.702372,21.1145,0.248827
19.tif,0.542941,21.3778,0.354948
190.tif,0.507588,18.4454,0.306318
1900.tif,0.538775,21.7144,0.242389
1901.tif,0.484009,19.4312,0.229035
1902.tif,0.639197,20.8958,0.30411
1903.tif,0.535024,20.6141,0.271017
1904.tif,0.63573,25.0895,0.270196
1905.tif,0.56094,21.759,0.257854
1906.tif,0.557051,23.7039,0.270703
1907.tif,0.533357,21.3629,0.258099
1908.tif,0.635048,22.3484,0.227272
1909.tif,0.71001,24.9785,0.21911
191.tif,0.527531,19.7528,0.293137
1910.tif,0.519176,22.2988,0.258431
1911.tif,0.51705,19.6369,0.250444
1912.tif,0.59875,22.5003,0.287319
1913.tif,0.654373,21.1318,0.251618
1914.tif,0.639408,22.6074,0.253816
1915.tif,0.666229,22.3291,0.275175
1916.tif,0.544106,22.1682,0.264691
1917.tif,0.749585,24.2676,0.217601
1918.tif,0.588174,19.708,0.246363
1919.tif,0.622277,22.573,0.305069
192.tif,0.5429,17.5282,0.310696
1920.tif,0.49431,21.6764,0.259753
1921.tif,0.594862,22.9811,0.226763
1922.tif,0.58209,21.3254,0.264985
1923.tif,0.68661,22.1895,0.254644
1924.tif,0.597256,23.1483,0.259805
1925.tif,0.559132,22.2056,0.272604
1926.tif,0.657318,23.1536,0.261458
1927.tif,0.660508,24.6511,0.241744
1928.tif,0.69907,22.7558,0.246217
1929.tif,0.648517,21.2522,0.239416
193.tif,0.42496,19.824,0.313075
1930.tif,0.579474,20.7844,0.296082
1931.tif,0.55357,21.4404,0.229665
1932.tif,0.555709,21.2554,0.257515
1933.tif,0.514866,21.6818,0.310063
1934.tif,0.646639,22.4504,0.268001
1935.tif,0.473028,20.937,0.260579
1936.tif,0.714433,22.8186,0.223785
1937.tif,0.542635,22.6416,0.269679
1938.tif,0.617381,23.1389,0.246623
1939.tif,0.619149,20.7108,0.301694
194.tif,0.6495,22.4265,0.290407
1940.tif,0.482617,19.6851,0.32082
1941.tif,0.622343,21.8286,0.229866
1942.tif,0.629017,24.7233,0.268832
1943.tif,0.566422,21.6423,0.263232
1944.tif,0.74917,23.5708,0.297529
1945.tif,0.618836,19.9358,0.294702
1946.tif,0.638848,22.0198,0.253632
1947.tif,0.687162,22.62,0.262309
1948.tif,0.518683,19.0667,0.28072
1949.tif,0.622728,19.9757,0.262969
195.tif,0.530758,21.1451,0.278149
1950.tif,0.559897,23.0765,0.256773
1951.tif,0.592558,20.8383,0.276834
1952.tif,0.514728,20.4201,0.238228
1953.tif,0.628711,22.2407,0.265372
1954.tif,0.583836,22.5156,0.252775
1955.tif,0.607591,23.6363,0.256143
1956.tif,0.532193,20.7096,0.236268
1957.tif,0.544383,19.8409,0.310887
1958.tif,0.561512,21.5869,0.313537
1959.tif,0.519368,18.4814,0.328184
196.tif,0.501894,21.4008,0.28029
1960.tif,0.613884,23.8126,0.336174
1961.tif,0.718985,20.8412,0.264733
1962.tif,0.605389,22.9352,0.261848
1963.tif,0.562963,21.0065,0.365532
1964.tif,0.583759,22.4069,0.301691
1965.tif,0.587103,23.2448,0.217805
1966.tif,0.612027,21.8045,0.333912
1967.tif,0.524445,19.7967,0.298369
1968.tif,0.530854,19.529,0.364165
1969.tif,0.620553,22.2742,0.241468
197.tif,0.395354,19.7852,0.321227
1970.tif,0.54992,22.3541,0.248236
1971.tif,0.482968,19.8397,0.297304
1972.tif,0.816211,21.8939,0.238387
1973.tif,0.539274,21.8316,0.305503
1974.tif,0.527928,23.1506,0.322642
1975.tif,0.533822,21.8084,0.277155
1976.tif,0.800981,22.1531,0.3132
1977.tif,0.586352,22.5421,0.234844
1978.tif,0.463338,18.4997,0.32296
1979.tif,0.648565,22.6304,0.247126
198.tif,0.479892,20.8714,0.314773
1980.tif,0.471847,18.8626,0.340421
1981.tif,0.555938,20.609,0.24463
1982.tif,0.626476,22.2192,0.261211
1983.tif,0.635965,18.7404,0.317031
1984.tif,0.596474,22.9794,0.257943
1985.tif,0.633024,22.7222,0.253716
1986.tif,0.707852,24.4108,0.275854
1987.tif,0.655628,22.9974,0.233746
1988.tif,0.816626,24.4626,0.308104
1989.tif,0.552556,20.722,0.260049
199.tif,0.521172,22.631,0.276789
1990.tif,0.611549,24.2079,0.245712
1991.tif,0.549427,20.6736,0.250077
1992.tif,0.647934,23.4143,0.217405
1993.tif,0.687107,22.8498,0.210989
1994.tif,0.648961,20.9707,0.246095
1995.tif,0.690672,23.1289,0.246645
1996.tif,0.605768,23.0561,0.239312
1997.tif,0.613427,25.0471,0.269951
1998.tif,0.524169,20.3432,0.293651
1999.tif,0.67928,24.1076,0.235141
2.tif,0.634317,23.122,0.336228
20.tif,0.589111,21.414,0.259349
200.tif,0.522997,21.8604,0.238145
2000.tif,0.581522,21.5583,0.390557
2001.tif,0.402902,18.6948,0.344313
2002.tif,0.518071,21.1136,0.230593
2003.tif,0.698858,23.5612,0.265066
2004.tif,0.554716,22.0982,0.272976
2005.tif,0.706569,23.0449,0.242943
2006.tif,0.524574,19.4175,0.249672
2007.tif,0.61992,22.1653,0.249235
2008.tif,0.58167,22.2452,0.237486
2009.tif,0.697973,23.0172,0.275871
201.tif,0.545801,20.1953,0.306122
2010.tif,0.686755,22.1498,0.263843
2011.tif,0.57145,19.9291,0.245492
2012.tif,0.679618,24.4531,0.204621
2013.tif,0.655917,23.3897,0.274218
2014.tif,0.724217,22.9373,0.261549
2015.tif,0.609939,24.1738,0.238453
2016.tif,0.529974,22.6072,0.244808
2017.tif,0.522873,19.5478,0.315215
2018.tif,0.72562,24.7154,0.244464
2019.tif,0.607423,21.819,0.250773
202.tif,0.539915,20.1313,0.292657
2020.tif,0.507871,17.7891,0.321661
2021.tif,0.53953,22.5369,0.240313
2022.tif,0.530758,21.3853,0.294547
2023.tif,0.598931,22.274,0.253818
2024.tif,0.477986,17.7573,0.26654
2025.tif,0.664757,24.6608,0.215916
2026.tif,0.609154,20.0155,0.348631
2027.tif,0.604627,20.3628,0.300439
2028.tif,0.619607,20.2568,0.258148
2029.tif,0.613388,22.9791,0.259694
203.tif,0.599863,21.0464,0.284619
2030.tif,0.681319,21.5261,0.213123
2031.tif,0.536326,17.6806,0.408939
2032.tif,0.643622,21.9458,0.264589
2033.tif,0.657089,21.3237,0.277689
2034.tif,0.618868,23.4528,0.238111
2035.tif,0.62816,23.0958,0.248324
2036.tif,0.599586,22.714,0.288636
2037.tif,0.619324,20.7303,0.259526
2038.tif,0.558254,22.545,0.250979
2039.tif,0.666831,24.7709,0.261954
204.tif,0.431502,17.6345,0.35781
2040.tif,0.522742,20.1109,0.261283
2041.tif,0.744509,25.0327,0.191985
2042.tif,0.458538,18.7348,0.309489
2043.tif,0.61995,20.6923,0.246833
2044.tif,0.627909,19.7262,0.238251
2045.tif,0.69698,23.2166,0.210331
2046.tif,0.549495,21.9521,0.234982
2047.tif,0.626355,22.5348,0.256549
2048.tif,0.533618,19.9292,0.300702
2049.tif,0.453893,20.4497,0.259907
205.tif,0.569822,21.1122,0.308794
2050.tif,0.602269,21.2099,0.244913
2051.tif,0.53109,16.5481,0.301611
2052.tif,0.555008,20.5996,0.249709
2053.tif,0.67315,21.939,0.289988
2054.tif,0.597754,22.3354,0.227587
2055.tif,0.541932,21.4773,0.283662
2056.tif,0.550053,20.9438,0.268279
2057.tif,0.691887,23.8493,0.25508
2058.tif,0.672915,24.5643,0.275963
2059.tif,0.523644,18.673,0.269155
206.tif,0.667616,21.3549,0.288579
2060.tif,0.632452,24.6135,0.227923
2061.tif,0.623794,20.9387,0.29458
2062.tif,0.706082,23.6119,0.206742
2063.tif,0.565951,23.5462,0.272734
2064.tif,0.530407,21.1762,0.247024
2065.tif,0.714973,24.4304,0.211282
2066.tif,0.678024,21.8027,0.250465
2067.tif,0.54742,21.4918,0.319407
2068.tif,0.672842,19.83,0.313054
2069.tif,0.535437,18.0144,0.324593
207.tif,0.528637,20.2285,0.325785
2070.tif,0.614192,22.2345,0.245937
2071.tif,0.625868,20.0587,0.246895
2072.tif,0.590513,23.4802,0.278015
2073.tif,0.641841,22.9432,0.235733
2074.tif,0.494575,21.7319,0.279663
2075.tif,0.487101,21.4654,0.246517
2076.tif,0.653492,20.9697,0.268831
2077.tif,0.717206,24.3247,0.245567
2078.tif,0.569514,18.3027,0.349777
2079.tif,0.686996,22.5229,0.259524
208.tif,0.535785,20.0589,0.277616
2080.tif,0.603855,22.5676,0.221789
2081.tif,0.609394,23.2984,0.242044
2082.tif,0.646298,23.9771,0.224805
2083.tif,0.617357,23.66,0.226033
2084.tif,0.522973,21.9271,0.274251
2085.tif,0.591142,22.252,0.243487
2086.tif,0.713191,24.5146,0.253723
2087.tif,0.534834,20.9321,0.251775
2088.tif,0.557469,20.3368,0.331053
2089.tif,0.541297,21.2743,0.246433
209.tif,0.484174,20.0359,0.263798
2090.tif,0.577435,20.9168,0.258792
2091.tif,0.628058,24.2026,0.219249
2092.tif,0.67517,21.529,0.258184
2093.tif,0.551695,21.9248,0.22221
2094.tif,0.625232,22.7044,0.234237
2095.tif,0.568439,21.7853,0.309509
2096.tif,0.611838,21.3406,0.251781
2097.tif,0.542204,18.3122,0.2698
2098.tif,0.538558,20.04,0.259429
2099.tif,0.579908,21.8054,0.326849
21.tif,0.676141,23.4686,0.264182
210.tif,0.497969,21.0286,0.292591
2100.tif,0.657154,23.3969,0.25401
2101.tif,0.622111,24.1686,0.243588
2102.tif,0.551354,21.7395,0.249442
2103.tif,0.605698,22.6988,0.2492
2104.tif,0.751801,25.7514,0.194115
2105.tif,0.50777,21.3876,0.317258
2106.tif,0.731484,22.8643,0.22524
2107.tif,0.550376,20.6741,0.261786
2108.tif,0.636559,22.7845,0.237505
2109.tif,0.716029,19.6186,0.290171
211.tif,0.472939,18.483,0.298383
2110.tif,0.607732,20.4227,0.241253
2111.tif,0.69012,22.9412,0.212637
2112.tif,0.455223,20.9336,0.277037
2113.tif,0.555673,22.4533,0.215536
2114.tif,0.664408,22.2087,0.245822
2115.tif,0.507772,21.4625,0.266302
2116.tif,0.611879,23.2871,0.222138
2117.tif,0.53118,20.8908,0.234533
2118.tif,0.644403,23.8413,0.229254
2119.tif,0.52311,20.1128,0.268702
212.tif,0.570971,20.4896,0.297073
2120.tif,0.601516,21.988,0.252226
2121.tif,0.680159,23.6507,0.237462
2122.tif,0.639534,20.6365,0.216756
2123.tif,0.655332,24.0523,0.249204
2124.tif,0.649257,22.1063,0.247924
2125.tif,0.785737,23.1361,0.213201
2126.tif,0.622386,18.27,0.254149
2127.tif,0.632266,19.3719,0.322902
2128.tif,0.54816,22.5477,0.242617
2129.tif,0.506468,21.712,0.263317
213.tif,0.489098,20.6509,0.295045
2130.tif,0.574375,22.4586,0.250152
2131.tif,0.735582,22.4777,0.219177
2132.tif,0.6491,22.0883,0.214676
2133.tif,0.520488,22.1571,0.233905
2134.tif,0.497727,19.8819,0.266394
2135.tif,0.717642,23.4992,0.229223
2136.tif,0.676666,22.9164,0.223245
2137.tif,0.564726,22.9394,0.230434
2138.tif,0.438581,20.1695,0.263394
2139.tif,0.669748,23.7741,0.239242
214.tif,0.719361,24.4415,0.292065
2140.tif,0.490246,20.4381,0.299229
2141.tif,0.645773,18.6233,0.348528
2142.tif,0.670285,22.8891,0.186228
2143.tif,0.588003,22.3317,0.24486
2144.tif,0.644943,18.353,0.304711
2145.tif,0.601187,20.4274,0.257252
2146.tif,0.569416,24.1108,0.237821
2147.tif,0.640634,21.5732,0.268293
2148.tif,0.625094,20.6834,0.24229
2149.tif,0.604014,20.6476,0.301745
215.tif,0.554753,20.5834,0.257594
2150.tif,0.684779,20.5393,0.318705
2151.tif,0.566502,20.5515,0.305173
2152.tif,0.670394,22.2343,0.264886
2153.tif,0.605676,23.6018,0.230159
2154.tif,0.723564,20.8821,0.268618
2155.tif,0.599839,23.0435,0.236232
2156.tif,0.571821,21.9928,0.258604
2157.tif,0.577835,21.1178,0.292154
2158.tif,0.695803,21.7925,0.231785
2159.tif,0.59703,20.7609,0.271782
216.tif,0.513326,21.2991,0.273124
2160.tif,0.704076,23.0484,0.242909
2161.tif,0.670091,22.7254,0.223212
2162.tif,0.546735,22.699,0.26354
2163.tif,0.621106,16.2634,0.326751
2164.tif,0.501975,21.6645,0.323178
2165.tif,0.501032,18.4824,0.329941
2166.tif,0.597488,18.4658,0.301615
2167.tif,0.642311,23.7759,0.244265
2168.tif,0.508446,21.8966,0.271906
2169.tif,0.513523,21.6694,0.244421
217.tif,0.533187,20.7534,0.290473
2170.tif,0.532703,16.9999,0.340021
2171.tif,0.601258,22.6393,0.263966
2172.tif,0.633171,21.873,0.245781
2173.tif,0.542301,22.1394,0.228025
2174.tif,0.561308,22.4053,0.293396
2175.tif,0.336968,18.4154,0.452917
2176.tif,0.552775,18.254,0.294111
2177.tif,0.615968,22.3126,0.206304
2178.tif,0.650746,23.0872,0.228273
2179.tif,0.679713,23.9697,0.233701
218.tif,0.472041,20.1031,0.279735
2180.tif,0.580551,21.7681,0.270567
2181.tif,0.766112,26.3496,0.243979
2182.tif,0.649618,23.3528,0.221793
2183.tif,0.493799,19.4015,0.272632
2184.tif,0.598782,23.1428,0.251773
2185.tif,0.613306,21.9961,0.263629
2186.tif,0.560916,22.346,0.279266
2187.tif,0.717384,24.7332,0.267537
2188.tif,0.645014,23.5145,0.217995
2189.tif,0.517905,21.2112,0.231603
219.tif,0.557685,22.2,0.2843
2190.tif,0.637338,23.1496,0.260335
2191.tif,0.643354,23.7471,0.239604
2192.tif,0.724961,25.1795,0.170415
2193.tif,0.576344,21.6202,0.312555
2194.tif,0.599466,22.3564,0.238471
2195.tif,0.559508,20.7176,0.293032
2196.tif,0.610976,22.7763,0.213713
2197.tif,0.535223,21.8581,0.261708
2198.tif,0.620451,23.8877,0.273324
2199.tif,0.670406,24.5499,0.213026
22.tif,0.511404,19.8098,0.264874
220.tif,0.552067,21.963,0.34166
2200.tif,0.68348,23.2753,0.222133
2201.tif,0.506998,21.9658,0.287139
2202.tif,0.613632,22.0119,0.235712
2203.tif,0.672491,24.0451,0.20712
2204.tif,0.65289,23.2767,0.295465
