split,file,ssim,psnr,lpips
train,11241.tif,0.500481,21.4214,0.231081
train,11242.tif,0.570351,20.7974,0.273476
train,11243.tif,0.581516,20.9818,0.292034
train,11244.tif,0.543316,19.8904,0.394005
train,11245.tif,0.494258,18.2737,0.289447
train,11246.tif,0.774636,24.9229,0.298645
train,11247.tif,0.595019,21.2217,0.266402
train,11248.tif,0.528209,22.0222,0.236025
train,11249.tif,0.699441,22.8965,0.303609
train,1125.tif,0.539617,20.1661,0.308955
train,11250.tif,0.51028,20.0749,0.296177
train,11251.tif,0.484614,19.916,0.276328
train,11252.tif,0.599363,19.5434,0.285505
train,11253.tif,0.644312,22.8959,0.299081
train,11254.tif,0.696154,22.3467,0.206786
train,11255.tif,0.496826,19.7511,0.238616
train,11256.tif,0.572924,21.6071,0.272995
train,11257.tif,0.545059,20.0087,0.271739
train,11258.tif,0.576861,20.3492,0.28595
train,11259.tif,0.559797,20.5712,0.277081
train,1126.tif,0.547129,18.8484,0.303022
train,11260.tif,0.659728,23.0387,0.248367
train,11261.tif,0.621434,23.4961,0.222618
train,11262.tif,0.719343,23.6375,0.196562
train,11263.tif,0.47983,20.9892,0.258071
train,11264.tif,0.527813,21.2649,0.23307
train,11265.tif,0.592117,21.335,0.267647
train,11266.tif,0.501371,18.0312,0.28217
train,11267.tif,0.491378,19.2864,0.266666
train,11268.tif,0.50089,20.8923,0.283969
train,11269.tif,0.747519,24.9327,0.235554
train,1127.tif,0.632661,23.1438,0.281261
train,11270.tif,0.49472,20.9884,0.259881
train,11271.tif,0.400423,17.4618,0.333578
train,11272.tif,0.750198,24.4445,0.218838
train,11273.tif,0.697412,22.784,0.215052
train,11274.tif,0.57662,20.8015,0.250163
train,11275.tif,0.454477,20.7445,0.265794
train,11276.tif,0.592891,22.9853,0.273068
train,11277.tif,0.616435,21.6584,0.273839
train,11278.tif,0.556076,20.2661,0.276701
train,11279.tif,0.494828,19.4853,0.292025
train,1128.tif,0.533606,19.9071,0.328868
train,11280.tif,0.596888,21.5916,0.240891
train,11281.tif,0.537028,21.5418,0.240523
train,11282.tif,0.626061,22.6382,0.242557
train,11283.tif,0.625008,22.3497,0.305642
train,11284.tif,0.528445,21.0407,0.312706
train,11285.tif,0.648142,24.1283,0.28168
train,11286.tif,0.63078,23.3466,0.24751
train,11287.tif,0.656087,21.6081,0.245704
train,11288.tif,0.698168,21.9305,0.224344
train,11289.tif,0.498569,21.2386,0.248295
train,1129.tif,0.52486,14.318,0.314763
train,11290.tif,0.630229,22.0481,0.229274
train,11291.tif,0.609877,23.1002,0.22784
train,11292.tif,0.493462,20.6417,0.268387
train,11293.tif,0.622292,22.4831,0.270511
train,11294.tif,0.68476,23.4306,0.2158
train,11295.tif,0.663791,22.5039,0.225611
train,11296.tif,0.558405,21.7983,0.267082
train,11297.tif,0.630224,24.0126,0.239998
train,11298.tif,0.461913,21.0601,0.268765
train,11299.tif,0.662407,23.7948,0.310457
train,113.tif,0.577176,23.0156,0.302371
train,1130.tif,0.518687,21.9038,0.256298
train,11300.tif,0.665124,21.4297,0.272933
train,11301.tif,0.575937,21.6948,0.263807
train,11302.tif,0.725635,22.6166,0.203244
train,11303.tif,0.551924,21.9839,0.24785
train,11304.tif,0.568102,20.3526,0.29962
train,11305.tif,0.472223,20.4555,0.268405
train,11306.tif,0.672129,23.2992,0.229809
train,11307.tif,0.604026,21.3392,0.248047
train,11308.tif,0.547356,19.0813,0.267576
train,11309.tif,0.636206,22.3258,0.254305
train,1131.tif,0.586239,21.5646,0.273397
train,11310.tif,0.641733,23.3375,0.258781
train,11311.tif,0.716396,24.3349,0.198718
train,11312.tif,0.623969,22.3501,0.294175
train,11313.tif,0.716986,23.2328,0.206578
train,11314.tif,0.570015,21.4814,0.256068
train,11315.tif,0.618693,22.0253,0.269679
train,11316.tif,0.537751,20.805,0.290977
train,11317.tif,0.689331,24.0439,0.194201
train,11318.tif,0.662677,22.1604,0.26664
train,11319.tif,0.48004,20.6231,0.27705
train,1132.tif,0.545185,23.2339,0.288166
train,11320.tif,0.710466,24.5219,0.202305
train,11321.tif,0.559148,21.8037,0.254373
train,11322.tif,0.475281,20.6578,0.256773
train,11323.tif,0.567377,21.9025,0.283181
train,11324.tif,0.625992,22.3588,0.22837
train,11325.tif,0.604882,20.978,0.249235
train,11326.tif,0.580963,21.9308,0.259084
train,11327.tif,0.608709,23.6093,0.231771
train,11328.tif,0.625962,19.9163,0.280772
train,11329.tif,0.759628,24.337,0.222727
train,1133.tif,0.677119,22.8289,0.219698
train,11330.tif,0.545173,20.4102,0.260011
train,11331.tif,0.701069,22.5146,0.215297
train,11332.tif,0.528986,21.4313,0.258268
train,11333.tif,0.520888,21.8153,0.26735
train,11334.tif,0.675447,22.6952,0.232466
train,11335.tif,0.519996,21.1433,0.278009
train,11336.tif,0.702083,21.4757,0.252777
train,11337.tif,0.646283,22.67,0.279444
train,11338.tif,0.660325,22.9968,0.287005
train,11339.tif,0.675144,23.009,0.232135
train,1134.tif,0.530512,20.5681,0.257144
train,11340.tif,0.66195,24.0918,0.267674
train,11341.tif,0.567844,22.8936,0.252393
train,11342.tif,0.643889,21.3911,0.247743
train,11343.tif,0.517399,19.2898,0.306898
train,11344.tif,0.46135,18.0198,0.306327
train,11345.tif,0.603856,21.7899,0.338757
train,11346.tif,0.518444,20.4497,0.260616
train,11347.tif,0.623809,21.7944,0.31729
train,11348.tif,0.571695,18.6454,0.297997
train,11349.tif,0.528096,21.5081,0.273389
train,1135.tif,0.539764,21.2335,0.286282
train,11350.tif,0.669243,24.3467,0.243738
train,11351.tif,0.599543,21.5664,0.284746
train,11352.tif,0.543772,21.2825,0.269021
train,11353.tif,0.682046,23.3344,0.219671
train,11354.tif,0.566474,20.4238,0.252684
train,11355.tif,0.607711,22.5015,0.292426
train,11356.tif,0.645698,23.0934,0.258342
train,11357.tif,0.840137,25.4771,0.223957
train,11358.tif,0.624583,21.8323,0.28311
train,11359.tif,0.572766,21.4773,0.244715
train,1136.tif,0.48861,21.2258,0.312219
train,11360.tif,0.515438,20.0865,0.296465
train,11361.tif,0.47563,20.9355,0.26482
train,11362.tif,0.531668,19.3687,0.275663
train,11363.tif,0.532648,20.836,0.272766
train,11364.tif,0.640318,22.4052,0.238084
train,11365.tif,0.548693,22.2239,0.26426
train,11366.tif,0.547128,22.1182,0.270443
train,11367.tif,0.477243,17.4534,0.269388
train,11368.tif,0.600922,23.3066,0.249524
train,11369.tif,0.523548,20.7686,0.245627
train,1137.tif,0.587395,20.8308,0.283612
train,11370.tif,0.501387,20.0742,0.275734
train,11371.tif,0.599127,19.685,0.292973
train,11372.tif,0.600277,23.0201,0.254228
train,11373.tif,0.718364,24.6191,0.223053
train,11374.tif,0.57133,22.0435,0.282613
train,11375.tif,0.610611,23.2624,0.211888
train,11376.tif,0.529744,20.6156,0.280696
train,11377.tif,0.675748,22.9464,0.240254
train,11378.tif,0.604567,21.0165,0.24794
train,11379.tif,0.659093,21.9512,0.249049
train,1138.tif,0.592279,23.5728,0.373767
train,11380.tif,0.616727,21.3542,0.288211
train,11381.tif,0.719135,24.1768,0.207667
train,11382.tif,0.565588,22.6119,0.253657
train,11383.tif,0.69151,23.0506,0.250798
train,11384.tif,0.613896,21.8988,0.260148
train,11385.tif,0.673737,24.8155,0.227668
train,11386.tif,0.532518,20.9768,0.259169
train,11387.tif,0.536252,20.9134,0.267094
train,11388.tif,0.696327,22.2159,0.217272
train,11389.tif,0.671214,23.1993,0.219433
train,1139.tif,0.528199,20.6086,0.289091
train,11390.tif,0.527692,19.5461,0.259974
train,11391.tif,0.600554,22.5382,0.296609
train,11392.tif,0.657755,22.5946,0.242742
train,11393.tif,0.531075,22.0319,0.277848
train,11394.tif,0.431805,18.9722,0.351939
train,11395.tif,0.579942,22.0866,0.260103
train,11396.tif,0.545055,20.3829,0.238827
train,11397.tif,0.58423,20.2046,0.273972
train,11398.tif,0.634524,23.1588,0.239385
train,11399.tif,0.735075,24.9565,0.219768
train,114.tif,0.58531,18.3869,0.280353
train,1140.tif,0.472558,20.4326,0.272811
train,11400.tif,0.488195,20.4185,0.322267
train,11401.tif,0.58133,22.6853,0.279379
train,11402.tif,0.610193,23.5287,0.264381
train,11403.tif,0.564904,22.011,0.283442
train,11404.tif,0.527343,21.4554,0.262154
train,11405.tif,0.602967,22.6731,0.258947
train,11406.tif,0.810154,25.7075,0.294393
train,11407.tif,0.568718,21.967,0.293505
train,11408.tif,0.579679,22.3454,0.282395
train,11409.tif,0.614819,23.6732,0.244698
train,1141.tif,0.520124,23.029,0.282498
train,11410.tif,0.551854,19.5186,0.360033
train,11411.tif,0.514931,18.7199,0.252407
train,11412.tif,0.682622,22.556,0.241195
train,11413.tif,0.523256,21.5782,0.242912
train,11414.tif,0.536448,20.4562,0.310995
train,11415.tif,0.50644,21.187,0.277395
train,11416.tif,0.522867,21.9362,0.261965
train,11417.tif,0.557123,20.5293,0.252514
train,11418.tif,0.652957,24.0833,0.275226
train,11419.tif,0.529954,21.5764,0.264037
train,1142.tif,0.591296,20.0866,0.253928
train,11420.tif,0.465305,20.697,0.308514
train,11421.tif,0.590689,22.9668,0.272345
train,11422.tif,0.469414,20.2654,0.289699
train,11423.tif,0.701727,23.4862,0.198523
train,11424.tif,0.652486,22.051,0.254255
train,11425.tif,0.616241,20.816,0.311221
train,11426.tif,0.618139,22.0454,0.269044
train,11427.tif,0.686313,24.2327,0.274047
train,11428.tif,0.662226,21.723,0.236173
train,11429.tif,0.599878,22.1633,0.249265
train,1143.tif,0.572599,22.3199,0.239576
train,11430.tif,0.630143,22.7878,0.270905
train,11431.tif,0.477911,19.2399,0.316347
train,11432.tif,0.607604,21.1446,0.251853
train,11433.tif,0.615844,21.6575,0.281594
train,11434.tif,0.69221,23.8919,0.21805
train,11435.tif,0.558074,21.9851,0.250191
train,11436.tif,0.523177,21.9655,0.239083
train,11437.tif,0.499335,21.5269,0.276387
train,11438.tif,0.523812,20.2135,0.25063
train,11439.tif,0.681184,23.0807,0.212113
train,1144.tif,0.54613,21.2629,0.261796
train,11440.tif,0.71753,25.0625,0.183222
train,11441.tif,0.605992,22.3022,0.247442
train,11442.tif,0.703752,21.4175,0.230237
train,11443.tif,0.625799,22.3771,0.253528
train,11444.tif,0.583924,22.7433,0.236289
train,11445.tif,0.722748,24.2773,0.20924
train,11446.tif,0.659113,22.0791,0.245081
train,11447.tif,0.592131,21.6118,0.244487
train,11448.tif,0.750825,24.7485,0.212025
train,11449.tif,0.572281,21.1771,0.263947
train,1145.tif,0.775021,24.2993,0.232132
train,11450.tif,0.586499,21.0455,0.261071
train,11451.tif,0.499942,20.818,0.268898
train,11452.tif,0.608446,21.9208,0.282249
train,11453.tif,0.63301,22.6657,0.280383
train,11454.tif,0.713788,23.8392,0.220015
train,11455.tif,0.598601,21.9869,0.248398
train,11456.tif,0.592284,22.8989,0.247252
train,11457.tif,0.637901,23.2833,0.234907
train,11458.tif,0.540585,22.3094,0.262742
train,11459.tif,0.695841,21.8458,0.237368
train,1146.tif,0.53571,18.6427,0.28459
train,11460.tif,0.608041,21.1214,0.264806
train,11461.tif,0.701827,24.3624,0.204248
train,11462.tif,0.594265,22.0948,0.262447
train,11463.tif,0.66948,23.3338,0.267812
train,11464.tif,0.541152,21.5956,0.245916
train,11465.tif,0.717035,23.9931,0.209358
train,11466.tif,0.564706,21.1883,0.28464
train,11467.tif,0.527487,21.543,0.289026
train,11468.tif,0.56226,22.4263,0.279916
train,11469.tif,0.622985,21.6127,0.244199
train,1147.tif,0.574703,17.0676,0.248101
train,11470.tif,0.621429,23.0244,0.254746
train,11471.tif,0.583485,22.8821,0.240944
train,11472.tif,0.550234,21.9145,0.286131
train,11473.tif,0.519893,20.9318,0.277371
train,11474.tif,0.570998,21.9115,0.237224
train,11475.tif,0.563543,22.6724,0.296661
train,11476.tif,0.660605,22.6362,0.269148
train,11477.tif,0.597133,22.2547,0.284176
train,11478.tif,0.749329,24.095,0.204697
train,11479.tif,0.570078,21.6878,0.272741
train,1148.tif,0.546879,21.2893,0.250413
train,11480.tif,0.576634,21.7288,0.25611
train,11481.tif,0.585865,22.0271,0.277443
train,11482.tif,0.659192,23.8881,0.224897
train,11483.tif,0.49647,21.5715,0.265387
train,11484.tif,0.534462,20.3766,0.299523
train,11485.tif,0.707694,23.7765,0.213439
train,11486.tif,0.493205,18.5436,0.259323
train,11487.tif,0.433704,18.6526,0.303334
train,11488.tif,0.573769,22.2319,0.287057
train,11489.tif,0.656255,23.6042,0.250281
train,1149.tif,0.548579,20.0541,0.276519
train,11490.tif,0.630031,23.7331,0.25051
train,11491.tif,0.524925,21.3722,0.284953
train,11492.tif,0.603658,22.7633,0.283761
train,11493.tif,0.60045,20.8905,0.28547
train,11494.tif,0.653076,23.9458,0.227575
train,11495.tif,0.642635,23.7082,0.232216
train,11496.tif,0.525993,19.9422,0.302309
train,11497.tif,0.558025,21.0015,0.236823
train,11498.tif,0.577317,19.8507,0.27851
train,11499.tif,0.600937,19.8624,0.268599
train,115.tif,0.555018,21.4392,0.259976
train,1150.tif,0.422507,18.9179,0.304254
train,11500.tif,0.548549,20.8918,0.279856
train,11501.tif,0.682639,21.942,0.251193
train,11502.tif,0.614978,23.4822,0.247971
train,11503.tif,0.715529,23.9028,0.228992
train,11504.tif,0.56335,21.687,0.30873
train,11505.tif,0.537636,21.0362,0.25518
train,11506.tif,0.661948,23.6616,0.219003
train,11507.tif,0.657557,22.6542,0.237647
train,11508.tif,0.466414,19.888,0.275791
train,11509.tif,0.574211,18.9696,0.254009
train,1151.tif,0.53271,18.4287,0.280019
train,11510.tif,0.651276,22.7803,0.263413
train,11511.tif,0.558113,22.9545,0.25387
train,11512.tif,0.662156,22.0522,0.250129
train,11513.tif,0.652511,23.4977,0.234561
train,11514.tif,0.499066,20.1473,0.280258
train,11515.tif,0.482124,19.9654,0.26591
train,11516.tif,0.606082,23.5554,0.269708
train,11517.tif,0.590388,21.0225,0.289582
train,11518.tif,0.828372,25.3588,0.245945
train,11519.tif,0.582031,21.2336,0.311688
train,1152.tif,0.61859,22.6034,0.282425
train,11520.tif,0.617693,22.1103,0.225742
train,11521.tif,0.462794,17.7595,0.294031
train,11522.tif,0.596107,21.1078,0.289008
train,11523.tif,0.587133,21.9881,0.260694
train,11524.tif,0.449221,20.3754,0.276226
train,11525.tif,0.57805,22.6259,0.244633
train,11526.tif,0.447587,20.9427,0.264352
train,11527.tif,0.506641,20.2283,0.328785
train,11528.tif,0.4613,19.3934,0.259434
train,11529.tif,0.562047,19.6162,0.3084
train,1153.tif,0.551468,17.7473,0.272542
train,11530.tif,0.543795,21.509,0.242393
train,11531.tif,0.548212,20.4826,0.271379
train,11532.tif,0.623604,20.7588,0.227435
train,11533.tif,0.628608,21.3921,0.291865
train,11534.tif,0.567563,20.8011,0.301028
train,11535.tif,0.517265,20.9178,0.244207
train,11536.tif,0.608238,22.3384,0.221604
train,11537.tif,0.607371,21.316,0.308317
train,11538.tif,0.619207,21.2623,0.240588
train,11539.tif,0.666664,23.9591,0.286754
train,1154.tif,0.559774,21.7131,0.306789
train,11540.tif,0.529539,20.8494,0.238551
train,11541.tif,0.475718,21.62,0.264583
train,11542.tif,0.509652,20.6021,0.251596
train,11543.tif,0.520204,19.7555,0.262053
train,11544.tif,0.484023,20.7022,0.294863
train,11545.tif,0.67037,20.934,0.27648
train,11546.tif,0.474092,19.1526,0.310246
train,11547.tif,0.689189,23.7174,0.238645
train,11548.tif,0.648093,21.9669,0.251218
train,11549.tif,0.610344,21.2202,0.239608
train,1155.tif,0.505525,20.4948,0.315699
train,11550.tif,0.625642,23.417,0.244687
train,11551.tif,0.646778,23.2307,0.25445
train,11552.tif,0.695382,24.1704,0.208297
train,11553.tif,0.646374,24.0816,0.231657
train,11554.tif,0.507563,19.9278,0.280475
train,11555.tif,0.621883,23.9732,0.231125
train,11556.tif,0.606628,22.3248,0.247057
train,11557.tif,0.481875,19.6324,0.288746
train,11558.tif,0.583237,22.775,0.275333
train,11559.tif,0.642622,22.5708,0.238903
train,1156.tif,0.562859,16.5929,0.281183
train,11560.tif,0.511154,21.1456,0.237024
train,11561.tif,0.567207,22.038,0.258487
train,11562.tif,0.492633,19.4741,0.259328
train,11563.tif,0.598896,21.691,0.27304
train,11564.tif,0.635343,21.7029,0.243487
train,11565.tif,0.473189,21.0938,0.261147
train,11566.tif,0.512899,19.0102,0.317891
train,11567.tif,0.52105,21.5696,0.297959
train,11568.tif,0.590348,21.2928,0.263978
train,11569.tif,0.586578,20.1301,0.267198
train,1157.tif,0.453816,21.5583,0.286394
train,11570.tif,0.563704,21.3529,0.289887
train,11571.tif,0.601218,21.016,0.270347
train,11572.tif,0.509953,21.124,0.278222
train,11573.tif,0.786055,25.7467,0.227039
train,11574.tif,0.532514,20.3182,0.276105
train,11575.tif,0.489801,20.5873,0.232139
train,11576.tif,0.54433,20.9818,0.260233
train,11577.tif,0.537534,21.1639,0.294588
train,11578.tif,0.486001,19.6328,0.248655
train,11579.tif,0.508942,20.5645,0.271668
train,1158.tif,0.567676,21.802,0.297365
train,11580.tif,0.486132,20.6728,0.29977
train,11581.tif,0.683654,23.2696,0.219171
train,11582.tif,0.639214,21.9822,0.225537
train,11583.tif,0.566738,20.5308,0.231142
train,11584.tif,0.540184,22.0287,0.298159
train,11585.tif,0.500815,19.1542,0.287294
train,11586.tif,0.502669,20.5586,0.245845
train,11587.tif,0.604548,23.1683,0.265777
train,11588.tif,0.672357,22.454,0.247021
train,11589.tif,0.469509,17.9183,0.244116
train,1159.tif,0.576832,20.0251,0.274075
train,11590.tif,0.423188,20.0958,0.278696
train,11591.tif,0.478706,21.6059,0.259224
train,11592.tif,0.568216,22.6189,0.234215
train,11593.tif,0.487156,20.2235,0.249248
train,11594.tif,0.637085,24.7315,0.239565
train,11595.tif,0.572405,22.6448,0.270572
train,11596.tif,0.770887,23.9477,0.212054
train,11597.tif,0.510726,21.3802,0.238411
train,11598.tif,0.574177,22.794,0.279199
train,11599.tif,0.632376,21.8892,0.291379
train,116.tif,0.491108,17.8379,0.289946
train,1160.tif,0.629429,22.7206,0.272114
train,11600.tif,0.78935,24.9531,0.21566
train,11601.tif,0.638744,21.8646,0.324553
train,11602.tif,0.625197,22.1977,0.291991
train,11603.tif,0.568384,23.2588,0.260149
train,11604.tif,0.546315,20.9655,0.304838
train,11605.tif,0.490048,18.7494,0.276619
train,11606.tif,0.621322,22.5348,0.265349
train,11607.tif,0.634967,22.6749,0.205854
train,11608.tif,0.608631,21.5577,0.250641
train,11609.tif,0.609532,23.1845,0.230379
train,1161.tif,0.550706,18.5269,0.366209
train,11610.tif,0.707354,19.9212,0.269028
train,11611.tif,0.616928,23.7626,0.20913
train,11612.tif,0.603145,23.3465,0.242549
train,11613.tif,0.540274,21.0774,0.288952
train,11614.tif,0.509881,19.9226,0.286674
train,11615.tif,0.475381,21.3999,0.248984
train,11616.tif,0.634317,23.6848,0.270206
train,11617.tif,0.506011,20.9547,0.267745
train,11618.tif,0.516702,20.7104,0.237383
train,11619.tif,0.555006,20.1349,0.309709
train,1162.tif,0.574001,18.3355,0.29624
train,11620.tif,0.681405,24.2925,0.220313
train,11621.tif,0.675257,23.1687,0.382997
train,11622.tif,0.715344,23.1828,0.255944
train,11623.tif,0.620966,20.6384,0.252267
train,11624.tif,0.695661,23.7559,0.238398
train,11625.tif,0.662526,22.9616,0.229124
train,11626.tif,0.488171,20.5019,0.263958
train,11627.tif,0.435553,20.4211,0.293157
train,11628.tif,0.612327,23.038,0.248896
train,11629.tif,0.652057,24.037,0.240069
train,1163.tif,0.519176,19.5893,0.319936
train,11630.tif,0.670394,23.7812,0.227315
train,11631.tif,0.570098,23.2003,0.289141
train,11632.tif,0.636304,23.4621,0.245871
train,11633.tif,0.627071,23.3657,0.22027
train,11634.tif,0.505608,21.8037,0.237298
train,11635.tif,0.626005,21.6917,0.258663
train,11636.tif,0.565414,21.3033,0.285818
train,11637.tif,0.46214,20.2642,0.284125
train,11638.tif,0.629606,22.3465,0.218688
train,11639.tif,0.519643,21.0836,0.311325
train,1164.tif,0.533165,20.2845,0.295025
train,11640.tif,0.552816,20.9924,0.281872
train,11641.tif,0.635113,20.7189,0.286806
train,11642.tif,0.607815,22.9724,0.238854
train,11643.tif,0.488735,19.9741,0.298979
train,11644.tif,0.572101,20.1289,0.322755
train,11645.tif,0.501453,21.4401,0.257596
train,11646.tif,0.602354,20.9934,0.266748
train,11647.tif,0.721631,23.9713,0.21706
train,11648.tif,0.682658,22.6742,0.235802
train,11649.tif,0.541699,21.5575,0.268197
train,1165.tif,0.567599,22.3907,0.229856
train,11650.tif,0.583565,22.4136,0.313698
train,11651.tif,0.668311,22.986,0.243372
train,11652.tif,0.803565,24.0177,0.284759
train,11653.tif,0.626783,22.5345,0.246798
train,11654.tif,0.464411,20.3498,0.252373
train,11655.tif,0.554052,21.2744,0.249791
train,11656.tif,0.603627,22.4888,0.3081
train,11657.tif,0.559713,22.0299,0.269962
train,11658.tif,0.63486,21.2882,0.276143
train,11659.tif,0.665717,23.8343,0.256943
train,1166.tif,0.641097,21.7705,0.258504
train,11660.tif,0.553165,21.5633,0.282272
train,11661.tif,0.507814,22.0185,0.218657
train,11662.tif,0.573397,23.2997,0.281327
train,11663.tif,0.492289,20.5473,0.257759
train,11664.tif,0.61423,20.6773,0.34802
train,11665.tif,0.480526,20.4846,0.270898
train,11666.tif,0.577165,22.01,0.252336
train,11667.tif,0.523306,20.0745,0.299533
train,11668.tif,0.498386,21.0983,0.262809
train,11669.tif,0.565625,22.3369,0.238553
train,1167.tif,0.467622,20.3595,0.319013
train,11670.tif,0.604892,23.2713,0.279544
train,11671.tif,0.481003,19.6445,0.293718
train,11672.tif,0.485303,19.4738,0.267298
train,11673.tif,0.578372,22.9147,0.260429
train,11674.tif,0.484208,21.1378,0.281181
train,11675.tif,0.571898,22.8776,0.286042
train,11676.tif,0.572547,22.0706,0.235319
train,11677.tif,0.632041,23.1822,0.242328
train,11678.tif,0.728489,24.7139,0.218196
train,11679.tif,0.450532,18.8398,0.28722
train,1168.tif,0.520463,22.407,0.283706
train,11680.tif,0.635953,20.5505,0.243913
train,11681.tif,0.656701,23.4636,0.226127
train,11682.tif,0.515486,20.888,0.253124
train,11683.tif,0.497597,19.5595,0.26207
train,11684.tif,0.518697,21.1508,0.260528
train,11685.tif,0.491597,20.9535,0.263355
train,11686.tif,0.533549,20.1614,0.249893
train,11687.tif,0.501714,20.4666,0.271358
train,11688.tif,0.662059,24.6603,0.263976
train,11689.tif,0.659558,23.2856,0.217973
train,1169.tif,0.526495,18.3854,0.25293
train,11690.tif,0.490359,20.8841,0.254625
train,11691.tif,0.498345,20.5964,0.276127
train,11692.tif,0.584465,23.0234,0.237752
train,11693.tif,0.843799,24.6113,0.192592
train,11694.tif,0.619367,23.5165,0.258248
train,11695.tif,0.696346,23.4869,0.218411
train,11696.tif,0.487983,20.2644,0.281824
train,11697.tif,0.578992,22.356,0.272185
train,11698.tif,0.678543,22.1705,0.27709
train,11699.tif,0.524645,19.1981,0.319696
train,117.tif,0.607926,20.6495,0.264493
train,1170.tif,0.531741,13.7596,0.381328
train,11700.tif,0.514332,21.5125,0.258396
train,11701.tif,0.701207,24.5485,0.203876
train,11702.tif,0.564098,21.0589,0.252843
train,11703.tif,0.635589,22.5463,0.257759
train,11704.tif,0.589035,22.2685,0.299628
train,11705.tif,0.661619,24.2453,0.220334
train,11706.tif,0.519181,20.8758,0.296643
train,11707.tif,0.589751,20.1769,0.264572
train,11708.tif,0.6725,20.1575,0.307725
train,11709.tif,0.703564,23.5399,0.214382
train,1171.tif,0.650647,21.5106,0.269103
train,11710.tif,0.519253,22.638,0.251417
train,11711.tif,0.521263,20.1767,0.310108
train,11712.tif,0.452488,19.6258,0.262894
train,11713.tif,0.644988,22.3799,0.235566
train,11714.tif,0.529527,19.4163,0.284281
train,11715.tif,0.636253,22.5392,0.237472
train,11716.tif,0.632336,23.2715,0.24643
train,11717.tif,0.683852,23.3628,0.234145
train,11718.tif,0.574035,19.9671,0.326547
train,11719.tif,0.673933,22.8908,0.255228
train,1172.tif,0.499542,18.5868,0.271109
train,11720.tif,0.475138,19.9374,0.249398
train,11721.tif,0.548097,21.4224,0.236542
train,11722.tif,0.587727,20.5682,0.292019
train,11723.tif,0.683597,23.2146,0.228759
train,11724.tif,0.693833,23.9823,0.243621
train,11725.tif,0.498645,19.9807,0.298859
train,11726.tif,0.594321,21.5093,0.266724
train,11727.tif,0.491987,19.1677,0.246977
train,11728.tif,0.548188,23.1352,0.276114
train,11729.tif,0.624898,22.5052,0.257485
train,1173.tif,0.686371,22.424,0.253091
train,11730.tif,0.665616,23.4702,0.233865
train,11731.tif,0.688808,23.0842,0.227921
train,11732.tif,0.695273,21.6326,0.222786
train,11733.tif,0.46898,21.5061,0.298789
train,11734.tif,0.519683,21.3766,0.263381
train,11735.tif,0.504083,20.3766,0.238704
train,11736.tif,0.682229,24.4362,0.259599
train,11737.tif,0.55094,22.1909,0.25239
train,11738.tif,0.554705,20.8053,0.264401
train,11739.tif,0.508689,21.1552,0.266437
train,1174.tif,0.515234,19.3705,0.312006
train,11740.tif,0.636856,21.5083,0.236621
train,11741.tif,0.64011,17.832,0.313955
train,11742.tif,0.710047,23.8672,0.221453
train,11743.tif,0.497955,20.2318,0.263109
train,11744.tif,0.537162,19.736,0.31415
train,11745.tif,0.492691,20.8403,0.274799
train,11746.tif,0.459841,19.763,0.279128
train,11747.tif,0.655903,23.1918,0.255035
train,11748.tif,0.491057,18.0397,0.284414
train,11749.tif,0.664026,22.7484,0.235509
train,1175.tif,0.488388,20.4284,0.278064
train,11750.tif,0.468614,20.8577,0.288408
train,11751.tif,0.604113,23.2505,0.255982
train,11752.tif,0.615715,21.4183,0.28956
train,11753.tif,0.667422,23.5968,0.205706
train,11754.tif,0.514068,19.5336,0.282691
train,11755.tif,0.618111,22.5445,0.26683
train,11756.tif,0.526649,20.9226,0.288517
train,11757.tif,0.544752,21.0768,0.257209
train,11758.tif,0.546508,22.2458,0.259103
train,11759.tif,0.545215,21.8875,0.293374
train,1176.tif,0.550996,19.9539,0.259192
train,11760.tif,0.75922,25.4358,0.239615
train,11761.tif,0.435976,20.0089,0.292535
train,11762.tif,0.456217,20.5976,0.278061
train,11763.tif,0.64536,22.2153,0.252003
train,11764.tif,0.687002,21.9907,0.238298
train,11765.tif,0.651673,21.6423,0.325128
train,11766.tif,0.504781,21.5256,0.295705
train,11767.tif,0.693233,22.5912,0.230296
train,11768.tif,0.684658,22.754,0.228766
train,11769.tif,0.580435,19.8738,0.258293
train,1177.tif,0.476836,19.8619,0.333899
train,11770.tif,0.54654,18.5062,0.282175
train,11771.tif,0.484746,19.4229,0.288338
train,11772.tif,0.473781,19.6995,0.250621
train,11773.tif,0.42108,19.5877,0.290305
train,11774.tif,0.565781,21.2815,0.281507
train,11775.tif,0.542033,21.018,0.264088
train,11776.tif,0.517861,21.7441,0.272642
train,11777.tif,0.581784,22.8671,0.227573
train,11778.tif,0.675013,23.7173,0.202207
train,11779.tif,0.554772,19.7738,0.254565
train,1178.tif,0.573869,21.2383,0.269713
train,11780.tif,0.735762,24.3638,0.22447
train,11781.tif,0.523428,21.6758,0.226164
train,11782.tif,0.601455,22.0224,0.255252
train,11783.tif,0.621623,21.3797,0.299703
train,11784.tif,0.526478,18.6294,0.291533
train,11785.tif,0.544908,21.3042,0.24406
train,11786.tif,0.629046,21.9453,0.244102
train,11787.tif,0.624783,20.6435,0.248923
train,11788.tif,0.617625,22.8173,0.251718
train,11789.tif,0.528561,20.6059,0.271189
train,1179.tif,0.687237,23.1804,0.274976
train,11790.tif,0.48343,20.4106,0.270529
