split,file,ssim,psnr,lpips
train,10121.tif,0.572667,21.8513,0.268119
train,10122.tif,0.626596,21.8637,0.256245
train,10123.tif,0.482792,17.9095,0.371575
train,10124.tif,0.620247,22.9025,0.321752
train,10125.tif,0.699936,24.2994,0.241523
train,10126.tif,0.517008,21.2337,0.27066
train,10127.tif,0.541214,20.4938,0.257756
train,10128.tif,0.753947,25.8698,0.247074
train,10129.tif,0.728734,21.5162,0.228104
train,1013.tif,0.738238,25.1559,0.224891
train,10130.tif,0.49766,22.2656,0.309744
train,10131.tif,0.70811,24.0906,0.229764
train,10132.tif,0.680407,24.1705,0.239496
train,10133.tif,0.685138,22.8104,0.237886
train,10134.tif,0.636906,22.9725,0.243509
train,10135.tif,0.603588,23.457,0.21809
train,10136.tif,0.573802,17.8885,0.366965
train,10137.tif,0.57418,21.2432,0.287288
train,10138.tif,0.567964,22.5469,0.246613
train,10139.tif,0.597067,22.1717,0.260808
train,1014.tif,0.596553,22.0354,0.273973
train,10140.tif,0.591482,22.3519,0.238862
train,10141.tif,0.601773,18.9444,0.261522
train,10142.tif,0.611309,22.85,0.263855
train,10143.tif,0.625548,22.791,0.272724
train,10144.tif,0.53135,22.0948,0.333185
train,10145.tif,0.631159,23.7613,0.264951
train,10146.tif,0.494643,18.133,0.319475
train,10147.tif,0.510599,21.3975,0.320086
train,10148.tif,0.562105,19.6607,0.314886
train,10149.tif,0.570202,18.187,0.33335
train,1015.tif,0.601949,22.6363,0.254238
train,10150.tif,0.612498,22.2447,0.266863
train,10151.tif,0.543208,22.2718,0.268816
train,10152.tif,0.590667,21.9199,0.298876
train,10153.tif,0.601937,22.1634,0.366583
train,10154.tif,0.544039,21.7739,0.272124
train,10155.tif,0.628282,23.1817,0.239802
train,10156.tif,0.723051,23.7633,0.21475
train,10157.tif,0.51318,20.8162,0.255124
train,10158.tif,0.563087,22.5702,0.279056
train,10159.tif,0.619048,22.4474,0.276078
train,1016.tif,0.553063,21.8299,0.257435
train,10160.tif,0.573169,21.6529,0.264667
train,10161.tif,0.63999,23.9962,0.241434
train,10162.tif,0.567975,19.2369,0.275916
train,10163.tif,0.701547,25.3093,0.225319
train,10164.tif,0.69213,24.7817,0.281525
train,10165.tif,0.704758,22.3416,0.289564
train,10166.tif,0.554544,21.1906,0.291474
train,10167.tif,0.663806,23.7183,0.213136
train,10168.tif,0.639419,23.7696,0.2708
train,10169.tif,0.632592,21.8855,0.298825
train,1017.tif,0.544921,20.2935,0.258319
